question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What is the nerve most at risk with the placement of a Percutaneous sacroiliac (SI) screw?,L5 nerve root injury (complication with errors in screw placement),Leads to EHL Dysfunction,spine,spine,,,,spine,lumbosacral region,lumbosacral region,,scr
What is the most common urogenital injury associated with Pelvic Ring Fractures?,Posterior urethral tear,,trauma,pelvis,,,,trauma,pelvic region,pelvic region,,
What is an indication for a retrograde urethrocystogram (RUG) that an orthopaedist may notice with Pelvic Ring Fractures?,Blood at Urethral Meatus,,trauma,pelvis,,,,trauma,pelvic region,pelvic region,,
What surgical procedure for Pelvic Ring Fx is a relative contraindication when a suprapubic catheter is present?,Anterior ring plating,,trauma,pelvis,,,,trauma,pelvis,,,
What is the most common complication of Urogenital Injuries associated with Pelvic Ring Fx?,Urethral Stricture,,trauma,pelvis,,,,trauma,pelvic region,pelvic region,,
What is the rate of DVT with Pelvic Ring Injuries?,DVT in ~ 60%,"PE in ~ 27%, fatal PE in 2%",trauma,pelvis,,,,trauma,pelvis,,,
What is the mortality rate after a Pelvic Ring injury?,Closed fractures: 1-15%  Open fractures: Up to 50%,,trauma,pelvis,,,,trauma,pelvis,,,
What is the most common long bone fracture?,Diaphyseal tibial fractures,Make up about 17% of all lower extremity fractures  More common in Males,trauma,leg,,,,trauma,lower leg,lower leg,,
What is the most common age distribution of Tibial Shaft Fractures?,"Bimodal distribution    Young patients - high energy mechanisms  Older patients - falls, lower energy mechanisms","High energy fx (MVA, fall from height, athletics, etc) - result of direct force  Low energy (fall from standing, twisting, etc) - result of indirect, torsional injury",trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,
What is important to identify preoperatively in a proximal 1/3 tibia fracture?,Extension into tibial plateau - Via plain films or CT scan,,trauma,knee,,,,trauma,knee,,,
What type of tibia fracture is most at risk for compartment syndrome?,Diaphyseal tibial shaft fractures,"8.1% risk in diaphyseal fractures, compared to proximal (1.6%) and distal (1.4%) fractures",trauma,leg,tibia,,,trauma,tibia,tibia,compartment syndrome,
What are the 3 main advantages of IM nailing compared to casting for tibial shaft fractures?,Shorter immobilization time  Earlier time to weight-bearing  Decreased time to union,,trauma,leg,tibial shaft,,,trauma,tibial shaft,tibial shaft,,
What is the effect of reaming on union rates in Closed Tibial shaft Fxs treated with IMN?,Reamed may have Higher Union Rates and Lower time to Union than Unreamed (controversial),,trauma,leg,tibial shaft,,,trauma,tibial shaft,tibial shaft,,
What are the 3 main indications for ORIF of Tibial Shaft Fractures?,Proximal tibia fractures with inadequate proximal fixation from IM nailing  Distal tibia fractures with inadequate distal fixation from IM nail  Tibia fractures in the setting of adjacent implant/hardware (i.e. prior TKA),,trauma,leg,tibia,,orif,trauma,tibia,tibia,,
What are the indications for the use of BMP-2 augmentation in Tibia Fractures?,Prior studies have demonstrated some use in open tibial shaft fractures,"controversial usage but in theory will show faster union rates, earlier mobilization, lower rates of revision, less risk for infection",trauma,leg,tibia,,,trauma,tibia,tibia,,
What are 5 theoretical benefits of BMP-2 augmentation in open tibial shaft fractures?,Accelerate early fracture healing  Decrease rate of hardware failure  Decrease need for subsequent autologous bone-grafting  Decrease need for secondary invasive procedures  Decrease infection rate,"(controversial, as recent studies have not fully supported these findings)",trauma,leg,tibial shaft,,,trauma,tibial shaft,tibial shaft,,
What are the 4 main approaches for Infrapatellar IM nailing of Tibial Shaft Fxs?,Medial parapatellar  Lateral parapatellar  Patellar tendon splitting  Semiextended Medial or Lateral parapatellar,,trauma,knee,,,,trauma,knee,,,
What is the appropriate treatment for nonunion of Tibial Shaft Fxs?,Axially Stable: Nail Dynamization  Not Axially Stable: Exchange Nailing,"Reamed exchange nailing most appropriate for aseptic, diaphyseal tibial nonunions Oblique tibial shaft fractures have the highest rate of union when treated with exchange nailing",trauma,leg,tibial shaft,,,trauma,tibial shaft,tibial shaft,,
What is the most common fracture pattern associated with low energy tibial shaft fractures?,Spiral fracture pattern with fibula fracture at a different level,,trauma,leg,tibia,,,trauma,tibia,tibia,,
What is the most common fracture pattern associated with High energy tibial shaft fractures?,Wedge or short oblique fracture that may have significant comminution with fibula fracture at same level,,trauma,leg,tibial shaft,,,trauma,tibial shaft,tibial shaft,,
What is one advantage of suprapatellar IM nailing compared to infrapatellar IM nailing for Tibial Shaft Fxs?,Improved fracture alignment (decreased risk of malunion),Suprapatellar nailing:,trauma,knee,,,,trauma,knee,,,
Which infrapatellar nailing approach is particularly susceptible to causing valgus malalignment of proximal 1/3 tibial shaft fractures?,Medial parapatellar,,trauma,knee,,,,trauma,knee,,,
What location of tibial shaft fractures treated with IM nailing has the highest risk of malrotation?,Distal 1/3 tibia fractures,Increases risk of adjacent Ankle Arthrosis,trauma,ankle,,,,trauma,distal tibia,distal tibia,,
What are the 3 most common ipsilateral skeletal injuries seen with tibial shaft fractures?,Tibial Plateau Fxs  Tibial Plafond Fxs  Femoral Shaft Fxs,,trauma,knee,,,,trauma,knee injuries,knee injuries,,
What two patient populations are most affected by acetabulum fractures?,"Bimodal distribution   High energy trauma in Younger patients (e.g., motor vehicle accidents) Low energy trauma in elderly patients (e.g., fall from standing height)","Anterior Family - Older, lower E Posterior Family - Can be younger or older Transverse family - Younger, Higher E",trauma,hip,,,,trauma,hip,,,
What are 3 factors that affect the fracture pattern of Acetabulum fractures?,"Force vector  Position of femoral head at time of injury Bone quality (e.g., age)",,trauma,pelvis,,,,trauma,pelvis,,,
What is the incidence of the following occurring with Acetabulum Fxs?,Head injury: 19%  Chest injury: 18%  Abdominal injury: 8%  Genitourinary injury: 6%,Lower extremity trauma seen in 36% of Tab fxs Spine injury seen in 4%,trauma,pelvis,,,,trauma,pelvis,,,
What is the average mean acetabular lateral inclination?,40 to 48 degrees,,recon,hip,,,,recon,hip,,,
What is the mean acetabular anteversion?,18 to 21 degrees,,recon,hip,,,,recon,hip,,,
"""What is the Column Theory of the Acetabulum?","Acetabulum is supported by 2 columns of bone that form an """"inverted Y""""""",,recon,pelvis,,,,recon,pelvis,,,
What are the most common acetabulum fracture patterns in elderly patients?,"Anterior column (e.g., quadrilateral plate fractures)  Anterior column + Posterior Hemitransverse  Assoicated Both Column fractures",,trauma,pelvis,,,,trauma,pelvis,,,
How do you perform an examination under anesthesia (EUA) for Posterior Wall Acetabulum Stability?,"Hip positioned in flexion, adduction and axial load  Obtain Obturator oblique view",Opening of the medial clear space suggests instability of the posterior wall fracture,recon,hip,,,,recon,hip,,,
What 4 patient factors are indications for nonop management of Acetabulum fractures?,"high operative risk (e.g., elderly patients, presence of DVT)  morbid obesity  open contaminated wound  late presenting > 3 weeks",,trauma,pelvis,,,,trauma,pelvis,,,
What 4 Acetabulum fracture characteristics are amenable to nonoperative management?,Minimally displaced fracture (< 2 mm)  < 20% posterior wall fractures  Femoral head congruency with weight bearing roof (out of traction)  Displaced fracture with roof arcs > 45° in AP and Judet views or > 10 mm on axial CT cuts,,trauma,pelvis,,,,trauma,pelvis,,,
What 4 patient factors are indications for ORIF of Acetabulum Fxs?,< 3 weeks from date of injury  Physiologically stable  Adequate soft-tissue envelope  No local infection,,trauma,pelvis,,,orif,trauma,pelvis,,,
Is pregnancy a contraindication to surgical fixation of Acetabulum Fxs?,NO,,trauma,pelvis,,,,trauma,pelvis,,,
What 5 fracture characteristics are indications for ORIF of Acetabulum Fxs?,Displacement of Roof (> 2 mm) Unstable fracture pattern (e.g. Posterior Wall fracture involving > 40-50%) Marginal impaction Intra-articular Loose bodies Irreducible Fracture-dislocation,The term “marginal impaction” describes a severe form of intraarticular hip fracture in which the affected articular fragment and subchondral bone are rotated and impacted against the underlying cancellous bone along the fracture margin     Fracture-dislocation with posterior wall fragments associated with marginal impaction (arrow). Note that affected articular fragment and subchondral bone (blue) are perpendicular to Femoral head (FH) and Acetabular margin.,trauma,pelvis,,,orif,trauma,pelvis,,,
What are 3 column fixation strategies for Acetabulum Fxs?,Reconstruction bridging plate and screws  Percutaneous column screws  Cable fixation,,recon,pelvis,,,,recon,pelvis,,,scr
What are 3 Wall fixation strategies for Acetabulum Fxs?,Bridge plate and screws  Lag screw and neutralization plate  Spring (butress) plate,,trauma,pelvis,,,,trauma,pelvis,,,scr
Worse outcomes are seen when Acetabulum fracture fixation occurs how long after the time of injury?,> 3 weeks from time of injury,Earlier operative treatment associated with increased chance of anatomic reduction,trauma,pelvis,,,,trauma,pelvis,,,
What post-operative position places the greatest stress on an acetabular repair?,Rising from a seated position using the Affected Leg - Occurs in the Posterior Superior portion of the acetabulum,Earlier operative treatment associated with increased chance of anatomic reduction,recon,pelvis,,,,recon,posterior superior acetabulum,posterior superior acetabulum,,
What are 3 approaches to Percutaneous column fixation of Acetabulum Fxs?,Anterograde (from iliac wing to ramus) Retrograde (from ramus to iliac wing)  Posterior column screws,Anterograde Anterior Column:   Retrograde Anterior Column:   Posterior Column Screws:,trauma,pelvis,,,,trauma,pelvis,,,scr
What is the most common complication of Acetabulum Fx Fixation?,Post-traumatic Degenerative Joint Disease,,recon,hip,,,,recon,hip,,,
What is the survival rate of the native hip at 20 years s/p Acetabular ORIF?,80%,,recon,hip,,,orif,recon,hip,,,
What are 2 surgical treatments for post-traumatic DJD following Acetabulum Fx?,Hip fusion or THA,,recon,hip,,,total hip arthroplasty,recon,hip,,,
What approach to the Acetabulum has the lowest incidence of Heterotopic Ossification?,Anterior ilioinguinal approach,,recon,pelvis,,,,recon,pelvis,,,
What is the rate of Osteonecrosis for Acetabulum ORIF?,6-7% of all acetabular fractures,,trauma,pelvis,,,orif,trauma,pelvis,,,
What are the indications to use the Anterior (Ilioinguinal) Approach for ORIF of Acetabular Fractures?,Anterior Wall and Anterior Column  Both Column fracture  Anterior Column Posterior Hemitransverse,AO - Ilioinguinal approach to the acetabulum  Risks: Femoral nerve injury LFCN injury Thrombosis of femoral vessels Laceration of corona mortis in 10-15%,trauma,pelvis,,,orif,trauma,pelvis,,,
What are the indications to use the Posterior (Kocher-Langenbeck) Approach for ORIF of Acetabular Fractures?,Posterior Wall and Posterior Column fx   Most Transverse and T-shaped   Combo of Above,AO - Kocher-Langenbeck approach to the acetabulum  Risks:  Increased HO risk compared with anterior approach  Sciatic nerve injury (2-10%)  Damage to blood supply of femoral head (medial femoral circumflex),trauma,pelvis,,,orif,trauma,pelvis,,,
What are the indications to use the Modified Stoppa Approach for ORIF of Acetabular Fractures?,Access to quadrilateral plate to buttress comminuted medial wall fractures,AO - Modified Stoppa Approach  Corona mortis must be exposed and ligated in this approach,trauma,pelvis,,,orif,trauma,pelvis,,,
What is the frequency of anatomic aspects of the tibial plateau affected in fractures?,Lateral > Bicondylar > Medial,,trauma,knee,tibial plateau,,,trauma,tibial plateau,tibial plateau,,
What is the most common mechanism of injury for tibial plateau fractures?,Varus/Valgus load with or without Axial Load,,trauma,knee,,,,trauma,knee,,tibial plateau fracture,
What are the 4 most common Orthopaedic Conditions associated with Tibial Plateau Fxs?,Meniscal tears  ACL injuries  Compartment syndrome  Vascular injury,,trauma,knee,,,,trauma,knee injuries,knee injuries,compartment syndrome,
What Meniscus is more commonly torn in Tibial Plateau Fractures?,Lateral,More common than any other injury even ACL and vascular injuries for Schatzker 4s,trauma,knee,,,,trauma,knee,,tibial plateau fracture,
Which Schatzker type is most associated with medial meniscus tears?,Type IV,,sports,knee,,,,sports,knee,,,
What 2 Schatzker types are most associated with ACL injuries?,Type IV and VI,,sports,knee,,,,sports,knee,,,
Which Schatzker type is most associated with vascular injury?,Type IV Fracture-Dislocations,,trauma,knee,,,,trauma,knee,,,
What are 3 indications for nonoperative management of Tibial Plateau Fxs?,Minimally displaced split or depressed fractures  Low energy fracture stable to varus/valgus alignment  Nonambulatory patients,,trauma,knee,,,,trauma,knee,,,
Why should Oblique views be ordered for Tibial Plateau fractures in addition to AP and Lateral?,Oblique is helpful to determine amount of depression,,trauma,knee,,,,trauma,knee,,tibial plateau fracture,
What are 2 indications for external fixation of tibial plateau fxs?,Severe Open fracture with marked contamination  Highly Comminuted fractures where internal fixation not possible,,trauma,knee,tibial plateau,,external fixation,trauma,tibial plateau,tibial plateau,,
What are 2 indications for temporizing ex-fix followed by delayed ORIF of tibial plateau fxs?,Significant soft tissue injury  Polytrauma,,trauma,knee,,,orif,trauma,knee,,,
What are 5 factors associated with postoperative infection after ORIF of tibial plateau fxs?,Male gender  Smoking::Activity  Pulmonary::Medical disease  Bicondylar fracture patterns  Intraoperative time over 3 hours,,trauma,knee,tibial plateau,,orif,trauma,tibial plateau,tibial plateau,,
What are 3 factors that result in worse outcomes after ORIF of tibial plateau fxs?,Ligamentous instability  Meniscectomy  Alteration of Limb Mechanical Axis > 5 degrees,Malalignment of the limb by >5 degrees tripled the rate of degenerative osteoarthritis (27% v. 9%),trauma,knee,,,orif,trauma,knee,,,
What is 1 benefit of early passive ROM after ORIF of a Tibial Plateau Fracture?,(Hinged Knee Brace)     Gentle mechanical compression on repaired Osteoarticular segments improves Chondrocyte survival,,sports,knee,,,orif,sports,knee,,tibial plateau fracture,
How much laxity (in degrees) indicates instability when performing a Tibial Plateau Varus/Valgus stress exam?,Any laxity >10 degrees,,sports,knee,,,,sports,knee,,,
What are 4 commonly used surgical approaches for ORIF of a Tibial Plateau Fx?,Lateral incision (Most common)  Midline incision (If planning TKA in future)  Posteromedial incision  Posterior (Can be used for Posterior Shearing fractures),,trauma,knee,,,orif,trauma,knee,,,
What is the strongest predictor of long-term outcomes after ORIF of a Tibial Plateau Fx?,Restoration of joint stability,2 main factors that need to be restored following fracture fixation for union to occur: Blood Supply + Stability,trauma,knee,,,orif,trauma,knee,,,
What is 1 Tibial Plateau fracture pattern amenable to non-locked buttress plates?,Simple partial articular fractures in healthy bone,AO: Tibial Plateau Fx ORIF - Plates without angular stability  Type B Fracture = Buttress Plate,trauma,knee,,,orif,trauma,proximal tibia,proximal tibia,tibial plateau fracture,
What are the 4 most common Orthopaedic conditions associated with Femoral Shaft fractures?,Ipsilateral femoral neck fracture   Bilateral Femur fractures  Ipsilateral Tibial shaft fractures  Ipsilateral Acetabular fracture,,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,femoral shaft fracture,
What are the 2 most common Non-orthopaedic conditions associated with femoral shaft fractures?,Thoracic/Pulmonary Trauma  Cerebral/Subdural Hemorrhage,,trauma,thoracic spine,,,,trauma,thoracic/pulmonary,thoracic/pulmonary,femoral shaft fracture,
What is the incidence of associated Ipsilateral Femoral Neck fractures in Femoral Shaft Fractures?,2-6%,Missed 19-31% of time,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,femoral shaft fracture,
What are the deforming forces on the fragments of a femoral shaft fracture?,Proximal: Abduction (Gluteus Medius & Minimus as they insert on greater trochanter)  Flexion (Iliopsoas as it inserts on lesser trochanter)  Distal: Varus (Adductors inserting on medial aspect of distal femur)  Extension (Gastrocnemius attaches on distal aspect of posterior femur),,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,femoral shaft fracture,
What are 6 findings of Compensated Shock?,Normotensive  Tachycardia WITHOUT Fever  Cool Extremities  Narrowing Pulse Pressure  Weak Peripheral Pulses  Delayed Capillary Refill,,trauma,global,,,,trauma,peripheral circulation,peripheral circulation,,
What lab is most sensitive for an Occult infection?,(Septic Nonunion)  CRP,,trauma,global,,,,trauma,blood (serum),blood (serum),,
What are the 4 main operative treatments for Adult Femoral Shaft fractures?,Antegrade intramedullary nail  Retrograde intramedullary nail  External fixation with conversion to intramedullary nail within 2-3 weeks  ORIF with plate,Antegrade IMN is GOLD STANDARD,trauma,thigh,femoral shaft,,orif,trauma,femoral shaft,femoral shaft,femoral shaft fracture,
What are 3 contraindications to Retrograde Femoral Intramedullary Nailing?,Skeletal immaturity  History of knee sepsis  Soft tissue injury surrounding knee,Antegrade IMN is GOLD STANDARD  AO: Retrograde Femoral Nail,trauma,knee,,,intramedullary nailing,trauma,knee,,,
How many days must a femoral shaft ex-fix be on before there is an increase in infection rate?,28 days,,trauma,thigh,,,,trauma,femur,femur,,
What are 3 indications for ORIF with a plate for Femoral Shaft Fxs?,Ipsilateral Neck fracture requiring Screw Fixation  Fracture at Distal Metaphyseal-Diaphyseal junction  Inability to access Medullary Canal,,trauma,thigh,femoral shaft,,orif,trauma,femoral shaft,femoral shaft,,
What are 2 ways to position a patient for Antegrade Femoral Intramedullary nailing?,Supine on Fracture Table Sloppy Lateral Position,,trauma,global,,,intramedullary nailing,trauma,supine,supine,,
What are 2 Post-Op benefits of reamed nailing compared to unreamed nailing for Femoral Shaft Fxs?,Increased union rates  Decreased time to union,,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,,
What is an indication for using an unreamed nail for Femoral Shaft fx?,Consider for patient with Bilateral Pulmonary injuries,reaming has been associated with increased risk of fat embolism,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,,
What is a benefit of computer-assisted navigation for interlocking screw placement in Antegrade IMN for Femoral Shaft fxs?,Decreases radiation exposure,,trauma,thigh,,,,trauma,femur,femur,,scr
How do you perform the Perfect Circle technique?,,,hand,shoulder,,,,hand,shoulder,,,
