question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What view of the wrist evaluates dorsal screw lengths following ORIF of the distal radius?,Skyline,"Following ORIF w/ use of volar locking plate, there is a concern for protrusion of the screw tips past the dorsal cortex. C and D in the second picture are an example of this view.",hand,forearm,,,orif,hand,distalradius,distalradius,,
How do you obtain a scaphoid view?,PA x-ray with maximal ulnar deviation,,hand,forearm,,,,hand,scaphoid,scaphoid,,
What are Gilula's arcs on hand x-ray?,"First arc: Proximal convexity of the scaphoid, lunate, and triquetrum Second arc: Distal concavity of the scaphoid, lunate, and triquetrum Third arc: Proximal convexity of the capitate and hamate",,hand,hand,,,,hand,carpus,carpus,,
What are the 6 radiographic lines of the pelvis?,1) Iliopubic line 2) Ilioischial line 3) Acetabular roof 4) Anterior border 5) Posterior border 6) Tear drop - Medial acetabular wall,,trauma,pelvis,,,,trauma,pelvis,,,
What 3 radiographic views should be obtained to evaluate the pelvic ring?,"AP pelvis, Inlet, Outlet",Xrays below are as follows: 1st - AP 2nd  - Inlet 3rd - Outlet,trauma,pelvis,,,,trauma,pelvis,,,
What 3 elements make a perfect AP pelvis radiograph?,1) Symmetric obturator foramen 2) Midline spinous processes 3) Coccyx is 2 cm superior to pubic ramus,,trauma,pelvis,,,,trauma,pelvis,,,
What makes a perfect inlet pelvic radiograph?,S1 overlying S2,,trauma,pelvis,,,,trauma,unknownregion,unknownregion,,
What makes a perfect outlet pelvic radiograph?,Pubic ramus overlying S2,,trauma,pelvis,,,,trauma,pelvis,,,
The inlet view of the pelvis evaluated for displacement in which 2 planes?,AP & Rotation,Ideal for visualizing -Anterior or posterior translation of the hemipelvis -Internal or external rotation of the hemipelvis -Widening of the SI joint -Sacral ala impaction,trauma,pelvis,,,,trauma,pelvis,,,
The outlet view of the pelvis evaluated for displacement in which 2 planes?,Superior-Inferior Flexion-Extension,Ideal for visualizing -Vertical translation of hemipelvis -Flexion/extension of hemipelvis -Disruption of sacral foramina and location of sacral fractures,trauma,pelvis,,,,trauma,pelvis,,,
What series of radiographs should be obtained to evaluate the acetabulum?,Judet views - Obturator oblique and Iliac oblique,Obturator oblique view of the right hip is on the same radiograph as an iliac oblique view of the left hip. The only difference is which side is being evaluated.,trauma,pelvis,acetabulum,,,trauma,acetabulum,acetabulum,,
The iliac oblique view evaluates which structures?,Anterior wall Posterior column,"Remember: IOWA (Iliac oblique - wall anterior). Then, just fill in the rest.",trauma,pelvis,,,,trauma,pelvis,,,
The obturator oblique view evaluates which structures?,Posterior wall Anterior column,,trauma,pelvis,acetabulum,,,trauma,acetabulum,acetabulum,,
What is Shenton's line?,Congruent line from the medial femoral neck extending to the suprior portion of the obturator foramen,Interruption of the Shenton line can indicate: -Developmental dysplasia of the hip (DDH) -Fractured neck of femur   See below Shenton's line in adults (1st XR) and children (2nd XR),recon,hip,,,,recon,femoralneck,femoralneck,,
"""What is the """"spur sign""""?","Radiographic finding seen on the obturator oblique view that is pathognomonic for a both column acetabular fracture""","""The """"spur"""" is the edge of the intact ileum""",trauma,pelvis,acetabulum,,,trauma,acetabulum,acetabulum,,
"""What is the """"gull sign""""?","Radiographic view of the fractured posterior wall that resembles a flying seagull""",Can also be used to describe superomedial dome impaction seen in elderly patients (3rd picture below),trauma,pelvis,acetabulum,,,trauma,acetabulum,acetabulum,,scr
"""What is a positive """"Thockmorton sign""""?","Radiographic shadow of the penis points towards the side of the fracture""","""This term is used humorously. A study in 1988 stated """"the sign is less accurate than tossing a coin"""".""",trauma,pelvis,,,,trauma,pelvis,,,
What radiograph should be obtained to better delineate the fracture pattern in intertrochanteric femur fractures?,Traction view,Traction + internal rotation allows for easier identification of these fractures.,trauma,hip,,,,trauma,intertrochanteric,intertrochanteric,,
What additional radiograph must be obtained preoperatively for intertrochanteric femur fractures?,Full length femur x-ray,To evaluate for distal hardware that may prevent passage of a nail.,trauma,hip,,,,trauma,intertrochanteric,intertrochanteric,,
What is the difference between a cross table lateral and a frog leg lateral x-ray?,"Cross table: Lateral of femur, lateral of pelvis Frog leg: Lateral of femur, AP of pelvis",(B) in the first set of x-rays is an example of cross table.,trauma,thigh,,,,trauma,femur,femur,,
What position should the leg be placed in to obtain a true AP of the femur?,15° internal rotation,This accounts for normal femoral anteversion.,trauma,thigh,,,,trauma,femur,femur,,
The cross-over sign on an AP pelvis x-ray is indicative of what condition?,Pincer type femoroacetabular impingement,,recon,pelvis,,,,recon,pelvis,,femoroacetabular impingement,
A pistol-grip deformity on a hip radiograph is indicative of what condition?,Cam type femoroacetabular impingement,,recon,hip,,,,recon,hip,,femoroacetabular impingement,
What makes a perfect AP radiograph of the knee?,Fibula is bisected by the lateral aspect of the proximal tibia,,recon,knee,,,,recon,knee,,,
What makes a perfect lateral radiograph of the knee?,Medial and lateral femoral condyles are superimposed,,recon,knee,,,,recon,knee,,,
Which radiographic view of the knee typically shows the earliest evidence of arthritis?,Rosenberg,,recon,knee,,,,recon,knee,,,
What three radiographic views of the ankle should always be obtained?,AP Mortise Lateral,,footankle,ankle,,,,footankle,ankle,,,
What makes the perfect lateral x-ray of the ankle?,Talar domes are superimposed,,footankle,ankle,,,,footankle,ankle,,,
How is the mortise view of the ankle obtained?,Internal rotation of leg 15°,,footankle,ankle,,,,footankle,ankle,,,
"What are the radiographic lines of the foot on AP, oblique, and lateral x-rays?",AP: Medial border of 2nd metatarsal should line up with medial border of the middle cuneiform Oblique: Medial aspect of the 4th metatarsal should line up with the medial aspect of the cuboid Lateral: Proximal aspect of the metatarsal should not be dorsally displaced relative to the cuneiforms,,footankle,foot,,,,footankle,foot,,,
What view is best for visualizing the talar neck?,Canale,,footankle,ankle,,,,footankle,talus,talus,,
What two specific radiographs should be obtained to evaluate the calcaneus?,Broden Harris,"""Doesn't """"Brody Harris"""" just sound like a surfer dude from CAL-ifornia.""",footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What three laboratory tests should be obtained in all patients being worked up for an infection?,CRP ESR WBC,,trauma,global,,,,trauma,not applicable,not applicable,,
What laboratory value is trended to monitor for improvement in acute infection?,CRP,,trauma,global,,,,trauma,not applicable,not applicable,,
Which laboratory tests (4) should be ordered on synovial fluid samples?,"Cultures - aerobic, anaerobic, fungus, acid-fast Gram stain Protein and glucose Synovial fluid analysis - includes WBC",,recon,global,,,,recon,joint,joint,,
What scoring system can be used in evaluating patients who may have necrotizing fasciitis?,LRINEC,"""""""Laboratory Risk Indicator for Necrotizing Fasciitis""""""",trauma,hand,,,,trauma,hand,,,
What six laboratory markers are needed to calculate the LRINEC score?,"CRP: ≥15 mg/dL (4 pt) WBC: <15 (0 pt), 15-25 (1 pt), >25 (2 pt) Hgb: >13.5 (0 pt), 11-13.5 (1 pt), <11 (2 pt) Sodium: <135 (2 pt) Creatinine: >1.6 mg/dL (2 pt) Glucose: >180 mg/dL (1 pt)",,footankle,ankle,,,,footankle,not applicable,not applicable,,
A LRINEC score of what indicates a 92% positive predictive value of having necrotizing fasciitis?,≥6,,trauma,global,,,,trauma,this clinical flashcard does not pertain to a specific anatomical region.,this clinical flashcard does not pertain to a specific anatomical region.,,
What is the most common single isolated organism in necrotizing fasciitis?,Group A streptococcus,Polymicrobial infections are the most common overall,trauma,global,,,,trauma,n/a,n/a,,
What bacteria is commonly responsible for indolent infections in the shoulder?,Propionibacterium acnes,Indolent meaning slow-growing and causing little pain,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
How long should cultures be held if there is concern for Propionibacterium acnes infection?,14-28 days,Anaerobe = Slow growing,shoulderelbow,shoulder,,,,shoulderelbow,unknownregion,unknownregion,,
What is pyogenic flexor tenosynovitis?,Infection of synovial sheath that surrounds the flexor tendon,Occurs secondary to penetrating trauma to the tendon sheath or direct spread from a felon or septic joint. Most common pathogen - staph aureus.,hand,hand,,,,hand,hand,,,
What are the Kanavel signs for pyogenic flexor tenosynovitis?,(4)    Flexed posturing of the involved digit Tenderness to palpation over the tendon sheath Marked pain with passive extension of the digit Fusiform swelling of the digit,,hand,hand,,,,hand,hand,,,
What is a horseshoe abscess?,Infection of the deep hand connecting the thumb and small finger through Parona's space,This may develop as a complication from pyogenic flexor tenosynovitis,hand,hand,,,,hand,hand,,,
What is a Paronychia?,Infection of the nail fold,"Acute - Caused by trauma (eg, nail biting, thumb sucking, manicure).   Chronic - Caused by occupations w/ prolonged exposure to irritants. Risk factors include diabetes, psoriasis, steroids, or retroviral drugs.",hand,hand,,,,hand,hand,,,
Paronychia are most common on which digit?,Thumb,,hand,hand,,,,hand,thumb,thumb,,
What is a felon?,Infection of the fingertip pulp,Treatment is usually I&D and IV antibiotics,hand,hand,,,,hand,phalangeshand,phalangeshand,,
What is the most common causative organism for paronychias and felons?,S. aureus,,hand,hand,,,,hand,hand,,,
What is a collar button abscess?,Abscess of the web space between fingers,,hand,hand,,,,hand,hand,,,
What is a fight bite injury?,Soft tissue injury overlying dorsal metacarpophalangeal joint,Usually from penetration of a tooth,hand,hand,,,,hand,mtpjoint,mtpjoint,,
What organism is highly associated with fight bite injuries?,Eikenella corrodens,,hand,hand,,,,hand,hand,,,
Are simple dog or cat bites more concerning for development of deep infections?,Cat bites,,hand,hand,,,,hand,hand,,,
What organism is highly associated with cat bite injuries?,Pasteurella multocida,,hand,hand,,,,hand,hand,,,
Septic arthritis most commonly occurs in which joints?,Knee > Hip > Shoulder > Elbow > Ankle,Keith Hernandez Should Eat Apples.   This mnemonic is so stupid... it just might work ;).,recon,hip,,,,recon,multipleregions,multipleregions,septic arthritis,
What is the most common causative organism in septic arthritis?,Staph aureus,,recon,global,,,,recon,joint,joint,septic arthritis,
What bacteria should be considered in a teenage patient with septic arthritis?,Neisseria gonorrhea,,peds,global,,,,peds,joint,joint,septic arthritis,
How many WBCs from the aspirate of a native knee suggests septic arthritis?,">50,000",,recon,knee,,,,recon,knee,,septic arthritis,
How many WBCs from a TKA aspirate suggests infection?,">1,100",,recon,knee,,,total knee arthroplasty,recon,knee,,,
How many WBCs from a THA aspirate suggests infection?,">3,000",,recon,hip,,,total hip arthroplasty,recon,hip,,,
What organism is associated with osteomyelitis of the foot following a puncture wound through a shoe?,Pseudomonas,,footankle,foot,,,,footankle,foot,,osteomyelitis,
What ususual bacteria is associated with osteomyelitis in IV drug abusers?,Pseudomonas,,trauma,global,,,,trauma,this clinical flashcard does not pertain to a specific anatomical region.,this clinical flashcard does not pertain to a specific anatomical region.,osteomyelitis,
What ususual bacteria is associated with osteomyelitis in sickle cell patients?,Salmonella,,onc,global,,,,onc,not applicable,not applicable,osteomyelitis,
What are the six P's of compartment syndrome?,Pain out of proportion Pain w/ passive stretch Paresthesia Pulselessness Paralysis Poikilothermia,,trauma,forearm,,,,trauma,forearm,,compartment syndrome,
What is the most sensitive finding for compartment syndrome on physical exam?,Pain with passive stretching,,trauma,forearm,,,,trauma,forearm,,compartment syndrome,
What are the compartments (2) of the upper arm?,Anterior and Posterior,,trauma,shoulder,,,,trauma,proximalhumerus,proximalhumerus,,
What are the compartments (3) of the forearm?,"Anterior, posterior, and mobile wad",Volar = anterior Dorsal = posterior,hand,forearm,,,,hand,forearm,,,
What are the compartments (5) of the hand?,Adductor Dorsal interosseous x4  Hypothenar Thenar Volar interosseous x3,,hand,hand,,,,hand,hand,,,
What are the compartments (3) of the thigh?,"Anterior, Posterior, Medial",,recon,thigh,,,,recon,thigh,thigh,,
What are the compartments (4) of the lower leg?,Anterior Deep posterior Lateral Superficial posterior,,trauma,global,,,,trauma,lowerleg,lowerleg,,
What are the compartments (5) of the foot?,Central (Deep and Superficial) Dorsal  Interosseous Lateral Medial,,footankle,foot,,,,footankle,foot,,,
Which fracture in adult patients is the most common cause of acute compartment syndrome?,Closed Tibial Shaft Fracture,,trauma,leg,tibial shaft,,,trauma,tibialshaft,tibialshaft,compartment syndrome,
Which fracture in pediatric patients is the most common cause of acute compartment syndrome?,Supracondylar Humerus Fracture,,peds,thigh,,,,peds,supracondylarfemur,supracondylarfemur,compartment syndrome,
What intra-compartmental pressure is suggestive of compartment syndrome?,Absolute value ≥30 mm Hg Delta P ≤30 mm Hg,Delta P = Diastolic blood pressure (pre-anesthesia) - Compartment pressure,trauma,forearm,,,,trauma,forearm,,compartment syndrome,
"In the setting of a fracture, where should the compartment pressure be measured?",Within 5 cm of the fracture site,,trauma,global,,,,trauma,fracturesite,fracturesite,,
What is the treatment for acute compartment syndrome?,Emergent Fasciotomy,,trauma,forearm,,,,trauma,forearm,,compartment syndrome,fasciotomy
Where are the incisions located for a two-incision lower leg fasciotomy?,Anterolateral - half way between the tibial crest and the fibula Medial - just posterior to the posteromedial border of the tibia,,trauma,leg,,,,trauma,lowerleg,lowerleg,,fasciotomy
Which compartment in the lower leg most commonly develops compartment syndrome?,Anterior,,trauma,global,,,,trauma,anteriorcompartmentlowerleg,anteriorcompartmentlowerleg,compartment syndrome,
Which compartment is most commonly inadequately released in the lower leg?,Deep Posterior,,footankle,ankle,,,,footankle,deep posterior,deep posterior,,
What condition may occur following missed compartment syndrome of the forearm?,Volkmann ischemic contracture,,hand,forearm,,,,hand,forearm,,compartment syndrome,
Describe the AO/OTA classification?,Type A: Extraarticular fracture Type B: Partial articular fracture Type C: Articular fracture,,trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,scr
How are the bones numbered in the AO/OTA classification?,1) Humerus 2) Radius/Ulna 3) Femur/Patella 4) Tibia/Fibula 5) Spine 6) Pelvis/Acetabulum 7) Hand 8) Foot,,trauma,spine,,,,trauma,ao/ota classification,ao/ota classification,,
How is a fracture location subclassified?,Proximal 1/3 = 1 Shaft = 2 Distal 1/3 = 3,,trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,
"How would you classify a simple, extraarticular midshaft femur fracture using the AO/OTA classification?",32A,3 = femur 2 = midshaft A = extrarticular,trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,
What are the different types (5) of nonunions?,Atrophic Hypertrophic Oligotrophic Pseudoarthrosis Septic,Per orthobullets: Atrophic: causes by inadequate immobilization and inadequate blood supply Hypertrophic: caused by inadequate stability and abdundant callous formation without bridging bone Oligotrophic: Inadequate reduction with fracture fragment displacement Pseudoarthrosis: pseudojoint forms between fracture ends Septic: caused by infection,trauma,global,,,,trauma,nonuniontypes,nonuniontypes,,
What causes an atrophic nonunion?,(2)    Inadequate mobilization Inadequate blood supply,,trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,
What causes a hypertrophic nonunion?,Too much motion at the fracture site,,trauma,global,,,,trauma,fracture site,fracture site,,
What labs should be ordered in the workup of a non-union?,"Infectious: CBC w/ differential, ESR, CRP Endocrine: Vitamin D, calcium, TSH, PTH",,trauma,global,,,,trauma,non-specific,non-specific,,
What is the classification for soft tissue injuries associated with closed fractures?,Oestern and Tscherne Classification,"Grade I: Negligible soft tissue injury   Grade II: Superficial contusion or abrasion w/ simple fracture   Grade III: Deeper contusion or abrasion with risk of compartment syndrome   Grade IV: Significant contusion, muscle destruction, subcutaneous degloving, compartment syndrome, nerve or vascular injury",trauma,global,,,,trauma,softtissueinjuries,softtissueinjuries,compartment syndrome,
How are open fractures classified?,Gustilo and Anderson Classification,"Type I: <1 cm open wound, low energy fracture Type II: 1-10 cm wound Type III: >10 cm wound and/or high energy fracture (ie. segmental, comminuted) A - Adequate soft tissue for coverage (includes split thickness skin grafts) B - Requires freee or rotational flap for coverage C - Vascular injury requiring repair",trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,
When is the Gustilo and Anderson classification determined?,Intraoperatively,,trauma,global,,,,trauma,intraoperatively,intraoperatively,,
What is the most important factor in preventing infection in open fracture?,Time to IV antibiotics,,trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,
What should be given immediately (2) for every open fracture?,IV antibiotics Tetanus - if not up to date,,trauma,global,,,,trauma,openfracture,openfracture,,
What antibiotic is recommended for a Type I open fracture?,"1st generation cephalosporin (eg, Ancef)",,trauma,global,,,,trauma,not applicable,not applicable,,
What antibiotic may be added for a Type III open fracture?,"Aminoglycoside (eg, Gentamicin)","In addition to 1st generation cephalosporin (eg, Ancef)",trauma,global,,,,trauma,openfracture,openfracture,,
What antibiotic should be added for farm injuries?,Penicillin,To cover for Clostridium,trauma,global,,,,trauma,not applicable,not applicable,,
What antibiotic should be added for water injuries?,Fluoroquinolones,Cover for pseudomonas,trauma,global,,,,trauma,not applicable,not applicable,,
"Anecdotally, how much irrigation is used for each type of open fracture?",Type I - 3 L Type II - 6 L Type III - 9 L,,trauma,global,,,,trauma,openfracture,openfracture,,
What is the most important injury predictor for amputation of the lower extremity?,Extent of soft tissue injury,,trauma,global,,,,trauma,lowerextremity,lowerextremity,,amputation
How should open fractures be treated in the trauma bay?,1) Irrigate the wound and remove gross debris 2) Reduce the fracture 3) Cover the wound w/ saline soaked gauze 4) Immobilize the fracture,,trauma,global,,,,trauma,traumabay,traumabay,,
What are the definitions of osteopenia and osteoporosis?,Osteopenia: T-score b/w -1 and -2.5 Osteoporosis: T-score < -2.5,,recon,global,,,,recon,bone,bone,osteoporosis,
What is the difference between a T-score and a Z-score for osteoporosis/osteopenia?,"T-score: relates to a young, matched control Z-score: compares same aged individuals",,recon,global,,,,recon,this clinical flashcard does not pertain to a specific anatomical region.,this clinical flashcard does not pertain to a specific anatomical region.,osteoporosis,
Is osteoporosis a quantity or quality problem?,Quantity,Mineralization is normal,recon,global,,,,recon,this flashcard does not pertain to a specific anatomical region.,this flashcard does not pertain to a specific anatomical region.,osteoporosis,
How much bone loss is needed to identify osteoporosis on plain x-ray?,30%,,recon,global,,,,recon,this flashcard does not pertain to a specific anatomical region.,this flashcard does not pertain to a specific anatomical region.,osteoporosis,
What are the three most common insufficiency fractures?,Vertebral body > Hip > Wrist,,trauma,hip,,,,trauma,vertebralbody,vertebralbody,,
"What is the one-year, all-cause mortality rate following an insufficiency hip fracture?",33%,,trauma,hip,,,,trauma,femoralneck,femoralneck,,
What is the mechanism of action of bisphosphonates?,Prevents osteoclast formation Promotes osteoclast apoptosis,,onc,global,,,,onc,bone,bone,,
What is a complication that is unique to IV bisphosphonates?,Jaw necrosis,,onc,hip,,,,onc,jaw,jaw,,
What fractures are suggestive of long-term bisphosphonate use?,Atypical subtrochanteric femur fractures,Thickening of the lateral cortex = indicative of changes occuring due to bisphosphonates,onc,hip,,,,onc,subtrochanteric,subtrochanteric,,
What are the characteristics (3) of an atypical femur fracture?,Transverse Thick lateral cortex Medial spike,"This can be a complication of long-term bisphosphonate use   1) Medial spike 2) Transverse fracture pattern 3, 4) Thickening of the lateral cortex",trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,
What classification is used for chondromalacia?,Outerbridge Classification,Grade 0 - Normal cartilage   Grade I - Softening   Grade II - Fissuring   Grade III - Fissuring to subchondral bone   Grade IV - Exposed subchondral bone,sports,knee,,,,sports,knee,,,
What type of cartilage covers articular surfaces?,Hyaline (Type II collagen),,recon,global,,,,recon,articularsurface,articularsurface,,
How does water content of cartilage change with aging and osteoarthritis?,Aging - Decreases::Increases/Decreases Osteoarthritis - Increases::Increases/Decreases,,recon,knee,,,,recon,knee,,,
What type of collagen is bone?,Type I,bONE = type ONE,recon,global,,,,recon,bone,bone,,
What are the main types (3) of ossification?,Endochondral Intramembranous Appositional,"Endochondral - cartilage replaced by bone   Intramembranous - no cartilage template, mesenchymal cells layer and form bone   Appositional - osteoblasts form new bone on existing bone",,global,,,,bones,this flashcard does not pertain to a specific anatomical region.,this flashcard does not pertain to a specific anatomical region.,,
Physeal growth and callus formation represent which type of ossification?,Endochondral,,,global,,,,bones,this flashcard does not pertain to a specific anatomical region.,this flashcard does not pertain to a specific anatomical region.,,
How does motion effect callus formation?,Increased motion = increased callus,,,thigh,femoral shaft,,,bones,femoralshaft,femoralshaft,,
What are the two types of bone healing?,"Primary (direct) - no callus formation, cutting cones Secondary (indirect) - callus formation",Cutting cones refers to osteoclasts at the tip of capillary beds that cut into cortical bone to re-establish Haversian structure of cortex. Osteoblasts follow this pattern to lay down new concentric lamellae.,,hip,,,,bones,bone,bone,,
What type of bone healing is seen in the following circumstances?,(Primary or Secondary)   Intramedullary nail - 2° External fixator - 2° Cast - 2° Bridge plating - 2° Lag screw - 1° Compression plating - 1°,The following pictures correspond to the order of bone healing methods listed above.,,global,,,external fixation,bones,orthopaedicprocedures,orthopaedicprocedures,,scr
What is Young's modulus of elasticity?,Measure of the stiffness of a material in the elastic zone,-Calculated by measuring the slope of the stress/strain curve -Higher modulus = stiffer material,recon,global,,,,recon,not applicable,not applicable,,
What material has a modulus most similar to bone?,Titanium,,recon,global,,,,recon,this flashcard does not pertain to a specific anatomical region.,this flashcard does not pertain to a specific anatomical region.,,
What is the Wolff's law?,Remodeling of bone occurs in response to stress,,recon,global,,,,recon,bone,bone,,
What is the Hueter-Volkmann law?,Compression inhibits growth of bone and tension stimulates bone growth,*This is the principle that is applied in patients who undergo epiphysiodesis,peds,hip,,,,peds,bone,bone,,
What is Bernoulli's effect?,Decrease in pressure causes increase in fluid speed,This is important for arthroscopy,sports,global,,,,sports,this flashcard does not pertain to any specific anatomical region.,this flashcard does not pertain to any specific anatomical region.,,
What are two ways in which lag screws are placed?,Lag by Technique Lag by Design,"Technique - near cortex is over drilled relative to the far cortex   Design - proximal aspect of the screw does not have threads (ie, partially threaded)",trauma,global,,,,trauma,orthopaedicprocedures,orthopaedicprocedures,,scr
What is a neutralization plate?,Plate that prevents torsional strain following lag screw fixation,,trauma,thigh,femoral shaft,,,trauma,femoralshaft,femoralshaft,,scr
What is a bridge plate?,Plate that bypasses the comminution,This in theory improves secondary bone healing because the blood supply to the fracture fragment is undisturbed,trauma,hip,,,,trauma,comminution,comminution,,
What is a buttress plate?,Plate used to prevent collapse under compressive force,Best indicated for simple partial articular fractures in healthy bone,trauma,global,,,,trauma,orthopaedichardware,orthopaedichardware,,
What is an anti-glide plate?,Plate used to prevent superior migration under compressive force,This is basically just an upside-down buttress plate,trauma,global,,,,trauma,orthopaedichardware,orthopaedichardware,,
What is the pitch of a screw?,Distance between screw threads,,trauma,global,,,,trauma,not applicable,not applicable,,scr
"""What is the difference between locking and non-locking screws?","Locking screws - threaded heads that """"lock"""" into the plate""",,trauma,hip,,,,trauma,orthopaedichardware,orthopaedichardware,,scr
What is countersinking?,Creation of a recess to allow the screw to sit flush with the surface of the bone,,trauma,global,,,,trauma,bone,bone,,scr
What are the benefits of countersinking a screw?,Decreased prominence Increased surface area for friction b/w screw and bone,,trauma,global,,,,trauma,orthopaedicprocedures,orthopaedicprocedures,,scr
Bone is strongest and weakest in which planes of motion?,Strongest: compression Weakest: shear,,recon,global,,,,recon,bonestructure,bonestructure,,
What is the classification for nerve injuries?,Seddon Classification,Neuropraxia - Focal nerve compression Axonotmesis - Axon and myelin disruption with an intact endoneurium Neurotmesis - Complete nerve transection,hand,hand,,,,hand,this flashcard does not pertain to a specific anatomical region.,this flashcard does not pertain to a specific anatomical region.,,
Nerve regeneration occurs at what rate?,1 mm/day,,hand,hand,,,,hand,nerve,nerve,,
What structures (6) make up the superior shoulder suspensory complex?,1) Acromial process 2) Acromioclavicular joint 3) Coraclavicular ligaments 4) Coracoid process 5) Distal clavicle 6) Glenoid,,shoulderelbow,knee,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What are the rotator cuff muscles and their innervations?,Supraspinatus - suprascapular nerve Infraspinatus - suprascapular nerve Teres minor - Axillary nerve Subscapularis - Upper and lower subscapular nerve,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What are the borders of the rotator interval?,Superior - Supraspinatus Inferior - Subscapularis Medial - Coracoid Lateral - Transverse humeral ligament,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structures (4) are located within the rotator interval?,Capsule Coracohumeral ligament Long head of biceps tendon Superior glenohumeral joint,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What is the main blood supply to the humeral head?,Posterior humeral circumflex artery,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which rotator cuff tendon(s) attach to the greater tuberosity?,Supraspinatus Infraspinatus Teres minor,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
