question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis1,metadata.diagnosis2,metadata.procedure,metadata.procedure2,metadata.procedure3,,
"""What is the """"gull sign""""?","Radiographic view of the fractured posterior wall that resembles a flying seagull""",Can also be used to describe superomedial dome impaction seen in elderly patients (3rd picture below),trauma,,pelvis,acetabulum,,,,,,,
"""What is a positive """"Thockmorton sign""""?","Radiographic shadow of the penis points towards the side of the fracture""","""This term is used humorously. A study in 1988 stated """"the sign is less accurate than tossing a coin"""".""",trauma,,pelvis,,,,,,,,
What radiograph should be obtained to better delineate the fracture pattern in intertrochanteric femur fractures?,Traction view,Traction + internal rotation allows for easier identification of these fractures.,trauma,,hip,,,,,,,,
What additional radiograph must be obtained preoperatively for intertrochanteric femur fractures?,Full length femur x-ray,To evaluate for distal hardware that may prevent passage of a nail.,trauma,,hip,,,,,,,,
What is the difference between a cross table lateral and a frog leg lateral x-ray?,"Cross table: Lateral of femur, lateral of pelvis Frog leg: Lateral of femur, AP of pelvis",(B) in the first set of x-rays is an example of cross table.,trauma,,hip,,,,,,,,
What position should the leg be placed in to obtain a true AP of the femur?,15 deg internal rotation,This accounts for normal femoral anteversion.,trauma,,hip,,,,,,,,
The cross-over sign on an AP pelvis x-ray is indicative of what condition?,Pincer type femoroacetabular impingement,,recon,,pelvis,,,,,,,,
A pistol-grip deformity on a hip radiograph is indicative of what condition?,Cam type femoroacetabular impingement,,recon,,hip,,,,,,,,
What makes a perfect AP radiograph of the knee?,Fibula is bisected by the lateral aspect of the proximal tibia,,recon,,knee,,,,,,,,
What makes a perfect lateral radiograph of the knee?,Medial and lateral femoral condyles are superimposed,,recon,,knee,,,,,,,,
Which radiographic view of the knee typically shows the earliest evidence of arthritis?,Rosenberg,,recon,,knee,,knee_oa,,,,,,
What three radiographic views of the ankle should always be obtained?,AP Mortise Lateral,,footankle,,ankle,,,,,,,,
What makes the perfect lateral x-ray of the ankle?,Talar domes are superimposed,,footankle,,ankle,,,,,,,,
How is the mortise view of the ankle obtained?,Internal rotation of leg 15°,,footankle,,ankle,,,,,,,,
"What are the radiographic lines of the foot on AP, oblique, and lateral x-rays?",AP: Medial border of 2nd metatarsal should line up with medial border of the middle cuneiform Oblique: Medial aspect of the 4th metatarsal should line up with the medial aspect of the cuboid Lateral: Proximal aspect of the metatarsal should not be dorsally displaced relative to the cuneiforms,,footankle,,foot,,,,,,,,
What view is best for visualizing the talar neck?,Canale,,footankle,,ankle,,,,,,,,
What two specific radiographs should be obtained to evaluate the calcaneus?,Broden Harris,"""Doesn't """"Brody Harris"""" just sound like a surfer dude from CAL-ifornia.""",footankle,,ankle,,,,,,,,
What three laboratory tests should be obtained in all patients being worked up for an infection?,CRP ESR WBC,,trauma,,non-anatomic,,infection,,,,,,
What laboratory value is trended to monitor for improvement in acute infection?,CRP,,trauma,,non-anatomic,,infection,,,,,,
Which laboratory tests (4) should be ordered on synovial fluid samples?,"Cultures - aerobic, anaerobic, fungus, acid-fast Gram stain Protein and glucose Synovial fluid analysis - includes WBC",,recon,,non-anatomic,,pji,,,,,,
What scoring system can be used in evaluating patients who may have necrotizing fasciitis?,LRINEC,"""""""Laboratory Risk Indicator for Necrotizing Fasciitis""""""",trauma,,hand,,necrotizing_fasciitis,,,,,,
What six laboratory markers are needed to calculate the LRINEC score?,"CRP: �15 mg/dL (4 pt) WBC: <15 (0 pt), 15-25 (1 pt), >25 (2 pt) Hgb: >13.5 (0 pt), 11-13.5 (1 pt), <11 (2 pt) Sodium: <135 (2 pt) Creatinine: >1.6 mg/dL (2 pt) Glucose: >180 mg/dL (1 pt)",,footankle,,non-anatomic,,necrotizing_fasciitis,,,,,,
A LRINEC score of what indicates a 92% positive predictive value of having necrotizing fasciitis?,>6,,trauma,,non-anatomic,,necrotizing_fasciitis,,,,,,
What is the most common single isolated organism in necrotizing fasciitis?,Group A streptococcus,Polymicrobial infections are the most common overall,trauma,,non-anatomic,,necrotizing_fasciitis,,,,,,
What bacteria is commonly responsible for indolent infections in the shoulder?,Propionibacterium acnes,Indolent meaning slow-growing and causing little pain,shoulderelbow,,shoulder,,infection,,,,,,
How long should cultures be held if there is concern for Propionibacterium acnes infection?,14-28 days,Anaerobe = Slow growing,shoulderelbow,,shoulder,,infection,,,,,,
What is pyogenic flexor tenosynovitis?,Infection of synovial sheath that surrounds the flexor tendon,Occurs secondary to penetrating trauma to the tendon sheath or direct spread from a felon or septic joint. Most common pathogen - staph aureus.,hand,,hand,,pyogenic_flexor_tenosynovitis,,,,,,
What are the Kanavel signs for pyogenic flexor tenosynovitis?,(4)    Flexed posturing of the involved digit Tenderness to palpation over the tendon sheath Marked pain with passive extension of the digit Fusiform swelling of the digit,,hand,,hand,,pyogenic_flexor_tenosynovitis,,,,,,
What is a horseshoe abscess?,Infection of the deep hand connecting the thumb and small finger through Parona's space,This may develop as a complication from pyogenic flexor tenosynovitis,hand,,hand,,abscess,,,,,,
What is a Paronychia?,Infection of the nail fold,"Acute - Caused by trauma (eg, nail biting, thumb sucking, manicure).   Chronic - Caused by occupations w/ prolonged exposure to irritants. Risk factors include diabetes, psoriasis, steroids, or retroviral drugs.",hand,,hand,,paronychia,,,,,,
Paronychia are most common on which digit?,Thumb,,hand,,hand,,paronychia,,,,,,
What is a felon?,Infection of the fingertip pulp,Treatment is usually I&D and IV antibiotics,hand,,hand,,felon,,,,,,
What is the most common causative organism for paronychias and felons?,S. aureus,,hand,,hand,,abscess,,,,,,
What is a collar button abscess?,Abscess of the web space between fingers,,hand,,hand,,abscess,,,,,,
What is a fight bite injury?,Soft tissue injury overlying dorsal metacarpophalangeal joint,Usually from penetration of a tooth,hand,,hand,,fight_bite,,,,,,
What organism is highly associated with fight bite injuries?,Eikenella corrodens,,hand,,hand,,fight_bite,,,,,,
Are simple dog or cat bites more concerning for development of deep infections?,Cat bites,,hand,,hand,,cat_bite,,,,,,
What organism is highly associated with cat bite injuries?,Pasteurella multocida,,hand,,hand,,cat_bite,,,,,,
Septic arthritis most commonly occurs in which joints?,Knee > Hip > Shoulder > Elbow > Ankle,Keith Hernandez Should Eat Apples.   This mnemonic is so stupid... it just might work ;).,recon,,hip,,septic_arthritis,,,,,,
What is the most common causative organism in septic arthritis?,Staph aureus,,recon,,non-anatomic,,septic_arthritis,,,,,,
What bacteria should be considered in a teenage patient with septic arthritis?,Neisseria gonorrhea,,peds,,non-anatomic,,septic_arthritis,,,,,,
How many WBCs from the aspirate of a native knee suggests septic arthritis?,">50,000",,recon,,knee,,septic_arthritis,,,,,,
How many WBCs from a TKA aspirate suggests infection?,">1,100",,recon,,knee,,pji,,revision total knee arthroplasty,,,,
How many WBCs from a THA aspirate suggests infection?,">3,000",,recon,,hip,,pji,,revision total hip arthroplasty,,,,
What organism is associated with osteomyelitis of the foot following a puncture wound through a shoe?,Pseudomonas,,footankle,,foot,,osteomyelitis,,,,,,
What ususual bacteria is associated with osteomyelitis in IV drug abusers?,Pseudomonas,,trauma,,non-anatomic,,osteomyelitis,,,,,,
What ususual bacteria is associated with osteomyelitis in sickle cell patients?,Salmonella,,onc,,non-anatomic,,osteomyelitis,,,,,,
What are the six P's of compartment syndrome?,Pain out of proportion Pain w/ passive stretch Paresthesia Pulselessness Paralysis Poikilothermia,,trauma,,non-anatomic,,compartment_syndrome,,,,,,
What is the most sensitive finding for compartment syndrome on physical exam?,Pain with passive stretching,,trauma,,non-anatomic,,compartment_syndrome,,,,,,
What are the compartments (2) of the upper arm?,Anterior and Posterior,,trauma,,arm,,,,,,,,
What are the compartments (3) of the forearm?,"Anterior, posterior, and mobile wad",Volar = anterior Dorsal = posterior,hand,,forearm,,,,,,,,
What are the compartments (5) of the hand?,Adductor Dorsal interosseous x4  Hypothenar Thenar Volar interosseous x3,,hand,,hand,,,,,,,,
What are the compartments (3) of the thigh?,"Anterior, Posterior, Medial",,recon,,thigh,,,,,,,,
What are the compartments (4) of the lower leg?,Anterior Deep posterior Lateral Superficial posterior,,trauma,,leg,,,,,,,,
What are the compartments (5) of the foot?,Central (Deep and Superficial) Dorsal  Interosseous Lateral Medial,,footankle,,foot,,,,,,,,
Which fracture in adult patients is the most common cause of acute compartment syndrome?,Closed Tibial Shaft Fracture,,trauma,,leg,tibial shaft,tibial_shaft_fx,,,,,,
Which fracture in pediatric patients is the most common cause of acute compartment syndrome?,Supracondylar Humerus Fracture,,peds,,elbow,distal humerus,supracondylar_fx,,,,,,
What intra-compartmental pressure is suggestive of compartment syndrome?,Absolute value >30 mm Hg Delta P <30 mm Hg,Delta P = Diastolic blood pressure (pre-anesthesia) - Compartment pressure,trauma,,non-anatomic,,compartment_syndrome,,,,,,
"In the setting of a fracture, where should the compartment pressure be measured?",Within 5 cm of the fracture site,,trauma,,non-anatomic,,compartment_syndrome,,,,,,
What is the treatment for acute compartment syndrome?,Emergent Fasciotomy,,trauma,,non-anatomic,,compartment_syndrome,,fasciotomy,,,,
Where are the incisions located for a two-incision lower leg fasciotomy?,Anterolateral - half way between the tibial crest and the fibula Medial - just posterior to the posteromedial border of the tibia,,trauma,,leg,,compartment_syndrome,,fasciotomy,,,,
Which compartment in the lower leg most commonly develops compartment syndrome?,Anterior,,trauma,,leg,,compartment_syndrome,,fasciotomy,,,,
Which compartment is most commonly inadequately released in the lower leg?,Deep Posterior,,trauma,,ankle,,compartment_syndrome,,fasciotomy,,,,
What condition may occur following missed compartment syndrome of the forearm?,Volkmann ischemic contracture,,hand,,forearm,,volkmann_contracture,,,,,,
Describe the AO/OTA classification?,Type A: Extraarticular fracture Type B: Partial articular fracture Type C: Articular fracture,,trauma,,non-anatomic,,,,,,,,
How are the bones numbered in the AO/OTA classification?,1) Humerus 2) Radius/Ulna 3) Femur/Patella 4) Tibia/Fibula 5) Spine 6) Pelvis/Acetabulum 7) Hand 8) Foot,,trauma,,non-anatomic,,,,,,,,
How is a fracture location subclassified?,Proximal 1/3 = 1 Shaft = 2 Distal 1/3 = 3,,trauma,,non-anatomic,,,,,,,,
"How would you classify a simple, extraarticular midshaft femur fracture using the AO/OTA classification?",32A,3 = femur 2 = midshaft A = extrarticular,trauma,,thigh,femoral shaft,,,,,,,
What are the different types (5) of nonunions?,Atrophic Hypertrophic Oligotrophic Pseudoarthrosis Septic,Per orthobullets: Atrophic: causes by inadequate immobilization and inadequate blood supply Hypertrophic: caused by inadequate stability and abdundant callous formation without bridging bone Oligotrophic: Inadequate reduction with fracture fragment displacement Pseudoarthrosis: pseudojoint forms between fracture ends Septic: caused by infection,trauma,,non-anatomic,,nonunion,,,,,,
What causes an atrophic nonunion?,(2)    Inadequate mobilization Inadequate blood supply,,trauma,,non-anatomic,,nonunion,,,,,,
What causes a hypertrophic nonunion?,Too much motion at the fracture site,,trauma,,non-anatomic,,nonunion,,,,,,
What labs should be ordered in the workup of a non-union?,"Infectious: CBC w/ differential, ESR, CRP Endocrine: Vitamin D, calcium, TSH, PTH",,trauma,,non-anatomic,,nonunion,,,,,,
What is the classification for soft tissue injuries associated with closed fractures?,Oestern and Tscherne Classification,"Grade I: Negligible soft tissue injury   Grade II: Superficial contusion or abrasion w/ simple fracture   Grade III: Deeper contusion or abrasion with risk of compartment syndrome   Grade IV: Significant contusion, muscle destruction, subcutaneous degloving, compartment syndrome, nerve or vascular injury",trauma,,non-anatomic,,,,,,,,
How are open fractures classified?,Gustilo and Anderson Classification,"Type I: <1 cm open wound, low energy fracture Type II: 1-10 cm wound Type III: >10 cm wound and/or high energy fracture (ie. segmental, comminuted) A - Adequate soft tissue for coverage (includes split thickness skin grafts) B - Requires freee or rotational flap for coverage C - Vascular injury requiring repair",trauma,,non-anatomic,,open_fx,,,,,,
When is the Gustilo and Anderson classification determined?,Intraoperatively,,trauma,,non-anatomic,,open_fx,,,,,,
What is the most important factor in preventing infection in open fracture?,Time to IV antibiotics,,trauma,,non-anatomic,,open_fx,,,,,,
What should be given immediately (2) for every open fracture?,IV antibiotics Tetanus - if not up to date,,trauma,,non-anatomic,,open_fx,,,,,,
What antibiotic is recommended for a Type I open fracture?,"1st generation cephalosporin (eg, Ancef)",,trauma,,non-anatomic,,open_fx,,,,,,
What antibiotic may be added for a Type III open fracture?,"Aminoglycoside (eg, Gentamicin)","In addition to 1st generation cephalosporin (eg, Ancef)",trauma,,non-anatomic,,open_fx,,,,,,
What antibiotic should be added for farm injuries?,Penicillin,To cover for Clostridium,trauma,,non-anatomic,,open_fx,,,,,,
What antibiotic should be added for water injuries?,Fluoroquinolones,Cover for pseudomonas,trauma,,non-anatomic,,open_fx,,,,,,
"Anecdotally, how much irrigation is used for each type of open fracture?",Type I - 3 L Type II - 6 L Type III - 9 L,,trauma,,non-anatomic,,open_fx,,,,,,
What is the most important injury predictor for amputation of the lower extremity?,Extent of soft tissue injury,,trauma,,non-anatomic,,,,amputation,,,,
How should open fractures be treated in the trauma bay?,1) Irrigate the wound and remove gross debris 2) Reduce the fracture 3) Cover the wound w/ saline soaked gauze 4) Immobilize the fracture,,trauma,,non-anatomic,,open_fx,,,,,,
What are the definitions of osteopenia and osteoporosis?,Osteopenia: T-score b/w -1 and -2.5 Osteoporosis: T-score < -2.5,,recon,,non-anatomic,,osteoporosis,,,,,,
What is the difference between a T-score and a Z-score for osteoporosis/osteopenia?,"T-score: relates to a young, matched control Z-score: compares same aged individuals",,recon,,non-anatomic,,osteoporosis,,,,,,
Is osteoporosis a quantity or quality problem?,Quantity,Mineralization is normal,recon,,non-anatomic,,osteoporosis,,,,,,
How much bone loss is needed to identify osteoporosis on plain x-ray?,30%,,recon,,non-anatomic,,osteoporosis,,,,,,
What are the three most common insufficiency fractures?,Vertebral body > Hip > Wrist,,trauma,,hip,,osteoporosis,,,,,,
"What is the one-year, all-cause mortality rate following an insufficiency hip fracture?",33%,,trauma,,hip,,hip_fracture,,,,,,
What is the mechanism of action of bisphosphonates?,Prevents osteoclast formation Promotes osteoclast apoptosis,,general,,non-anatomic,,,,,,,,
What is a complication that is unique to IV bisphosphonates?,Jaw necrosis,,general,,hip,,,,,,,,
What fractures are suggestive of long-term bisphosphonate use?,Atypical subtrochanteric femur fractures,Thickening of the lateral cortex = indicative of changes occuring due to bisphosphonates,general,,hip,,subtroch_fx,,,,,,
What are the characteristics (3) of an atypical femur fracture?,Transverse Thick lateral cortex Medial spike,"This can be a complication of long-term bisphosphonate use   1) Medial spike 2) Transverse fracture pattern 3, 4) Thickening of the lateral cortex",trauma,,hip,femoral shaft,subtroch_fx,,,,,,
What classification is used for chondromalacia?,Outerbridge Classification,Grade 0 - Normal cartilage   Grade I - Softening   Grade II - Fissuring   Grade III - Fissuring to subchondral bone   Grade IV - Exposed subchondral bone,sports,,non-anatomic,,chondromalacia,,,,,,
What type of cartilage covers articular surfaces?,Hyaline (Type II collagen),,recon,,non-anatomic,,,,,,,,
How does water content of cartilage change with aging and osteoarthritis?,Aging - Decreases::Increases/Decreases Osteoarthritis - Increases::Increases/Decreases,,recon,,non-anatomic,,osteoarthritis,,,,,,
What type of collagen is bone?,Type I,bONE = type ONE,recon,,non-anatomic,,,,,,,,
What are the main types (3) of ossification?,Endochondral Intramembranous Appositional,"Endochondral - cartilage replaced by bone   Intramembranous - no cartilage template, mesenchymal cells layer and form bone   Appositional - osteoblasts form new bone on existing bone",general,,non-anatomic,,,,,,,,
Physeal growth and callus formation represent which type of ossification?,Endochondral,,general,,non-anatomic,,,,,,,,
How does motion effect callus formation?,Increased motion = increased callus,,trauma,,non-anatomic,,,,,,,,
What are the two types of bone healing?,"Primary (direct) - no callus formation, cutting cones Secondary (indirect) - callus formation",Cutting cones refers to osteoclasts at the tip of capillary beds that cut into cortical bone to re-establish Haversian structure of cortex. Osteoblasts follow this pattern to lay down new concentric lamellae.,trauma,,non-anatomic,,,,orif,,,,
What type of bone healing is seen in the following circumstances?,(Primary or Secondary)   Intramedullary nail - 2° External fixator - 2° Cast - 2° Bridge plating - 2° Lag screw - 1° Compression plating - 1°,,trauma,,non-anatomic,,,,orif,,,,
What is Young's modulus of elasticity?,Measure of the stiffness of a material in the elastic zone,#NAME?,general,,non-anatomic,,,,,,,,
What material has a modulus most similar to bone?,Titanium,,general,,non-anatomic,,,,,,,,
What is the Wolff's law?,Remodeling of bone occurs in response to stress,,trauma,,non-anatomic,,,,orif,,,,
What is the Hueter-Volkmann law?,Compression inhibits growth of bone and tension stimulates bone growth,*This is the principle that is applied in patients who undergo epiphysiodesis,trauma,,hip,,,,orif,,,,
What is Bernoulli's effect?,Decrease in pressure causes increase in fluid speed,This is important for arthroscopy,sports,,non-anatomic,,,,,,,,
What are two ways in which lag screws are placed?,Lag by Technique Lag by Design,"Technique - near cortex is over drilled relative to the far cortex   Design - proximal aspect of the screw does not have threads (ie, partially threaded)",trauma,,non-anatomic,,,,orif,,,,
What is a neutralization plate?,Plate that prevents torsional strain following lag screw fixation,,trauma,,non-anatomic,,,,orif,,,,
What is a bridge plate?,Plate that bypasses the comminution,This in theory improves secondary bone healing because the blood supply to the fracture fragment is undisturbed,trauma,,non-anatomic,,,,orif,,,,
What is a buttress plate?,Plate used to prevent collapse under compressive force,Best indicated for simple partial articular fractures in healthy bone,trauma,,non-anatomic,,,,orif,,,,
What is an anti-glide plate?,Plate used to prevent superior migration under compressive force,This is basically just an upside-down buttress plate,trauma,,non-anatomic,,,,orif,,,,
What is the pitch of a screw?,Distance between screw threads,,trauma,,non-anatomic,,,,orif,,,,
"""What is the difference between locking and non-locking screws?","Locking screws - threaded heads that """"lock"""" into the plate""",,trauma,,non-anatomic,,,,orif,,,,
What is countersinking?,Creation of a recess to allow the screw to sit flush with the surface of the bone,,trauma,,non-anatomic,,,,orif,,,,
What are the benefits of countersinking a screw?,Decreased prominence Increased surface area for friction b/w screw and bone,,trauma,,non-anatomic,,,,orif,,,,
Bone is strongest and weakest in which planes of motion?,Strongest: compression Weakest: shear,,trauma,,non-anatomic,,,,orif,,,,
What is the classification for nerve injuries?,Seddon Classification,Neuropraxia - Focal nerve compression Axonotmesis - Axon and myelin disruption with an intact endoneurium Neurotmesis - Complete nerve transection,general,,non-anatomic,,,,,,,,
Nerve regeneration occurs at what rate?,1 mm/day,,general,,non-anatomic,,,,,,,,
What structures (6) make up the superior shoulder suspensory complex?,1) Acromial process 2) Acromioclavicular joint 3) Coraclavicular ligaments 4) Coracoid process 5) Distal clavicle 6) Glenoid,,shoulderelbow,sports,shoulder,,,,,,,,
What are the rotator cuff muscles and their innervations?,Supraspinatus - suprascapular nerve Infraspinatus - suprascapular nerve Teres minor - Axillary nerve Subscapularis - Upper and lower subscapular nerve,,sports,shoulderelbow,shoulder,,,,,,,,
What are the borders of the rotator interval?,Superior - Supraspinatus Inferior - Subscapularis Medial - Coracoid Lateral - Transverse humeral ligament,,sports,shoulderelbow,shoulder,rotator_cuff,,,,,,,
What structures (4) are located within the rotator interval?,Capsule Coracohumeral ligament Long head of biceps tendon Superior glenohumeral joint,,sports,shoulderelbow,shoulder,rotator_cuff,,,,,,,
What is the main blood supply to the humeral head?,Posterior humeral circumflex artery,,sports,shoulderelbow,shoulder,humeral_head,,,,,,,
Which rotator cuff tendon(s) attach to the greater tuberosity?,Supraspinatus Infraspinatus Teres minor,,sports,shoulderelbow,shoulder,rotator_cuff,,,,,,,
Which rotator cuff tendon(s) attach to the lesser tuberosity?,Subscapularis,,sports,shoulderelbow,shoulder,rotator_cuff,,,,,,,
What structure separates the greater and lesser tuberosities?,Bicipital groove,,sports,shoulderelbow,shoulder,,,,,,,,
What structure attaches just lateral to the bicipital groove?,Pectoralis major,,sports,shoulderelbow,shoulder,,,,,,,,
What structures (2) insert just medial to the bicipital groove?,Latissimus dorsi & Teres major,,sports,shoulderelbow,shoulder,,,,,,,,
Where does the long head of the biceps originate?,Glenoid tubercle,,sports,shoulderelbow,shoulder,glenoid,,,,,,,
What structure lies within the deltopectoral interval?,Cephalic vein,,shoulderelbow,trauma,shoulder,,,,,,,,
"In the deltopectoral approach, what vessels (3) are encountered at the distal margin of the subscapularis tendon?","Anterior humeral circumflex artery and its two venous communicantes - """"3 sisters""""""",,shoulderelbow,trauma,shoulder,,,,,,,,
What structures (2) make up the conjoined tendon?,Short head of the biceps Coracobrachialis,,shoulderelbow,,shoulder,,,,,,,,
Which tendons (3) attach to the coracoid?,Short head of the biceps Coracobrachialis Pectoralis minor,,shoulderelbow,,shoulder,,,,,,,,
Which ligaments (4) attach to the coracoid?,Conoid Trapezoid Coracohumeral Coracoacromial,,shoulderelbow,,shoulder,,,,,,,,
Which ligaments (2) provide superior and inferior stability to the clavicle?,Conoid Trapezoid,,shoulderelbow,,shoulder,,,,,,,,
Which ligament provides anterior and posterior stability to the clavicle?,Acromioclavicular (AC),,shoulderelbow,,shoulder,,,,,,,,
Where do the CC ligaments attach on the clavicle?,Trapezoid: 3 cm medial to the AC joint Conoid: 4.5 cm medial to the AC joint,,shoulderelbow,,shoulder,,,,,,,,
Which CC ligament is more posterior?,Conoid,,shoulderelbow,,shoulder,,,,,,,,
Which nerve is at risk with dissection medial to the conjoined tendon?,Musculocutaneous nerve,,shoulderelbow,trauma,shoulder,,,,,,,,
What artery runs along the lateral border of the bicipital groove?,Arcuate artery,,shoulderelbow,,shoulder,,,,,,,,
What percentage of shoulder motion is attributable to the glenohumeral joint and scapulothoracic articulations?,Glenohumeral: 2/3 - 120° Scapulothoracic: 1/3 - 60°,,shoulderelbow,sports,shoulder,,,,,,,,
Weakness of which muscle causes medial scapular winging?,Serratus Anterior,,sports,shoulderelbow,shoulder,,,,,,,,
Injury to which nerve causes medial scapular winging?,Long thoracic nerve,,shoulderelbow,,shoulder,,,,,,,,
Weakness of which muscle causes lateral scapular winging?,Trapezius,,shoulderelbow,,shoulder,,,,,,,,
Injury to which nerve causes lateral scapular winging?,CN XI,,shoulderelbow,,shoulder,,,,,,,,
The axillary nerve is approximately how far distal to the lateral edge of the acromion?,5 cm,,shoulderelbow,trauma,shoulder,,,,,,,,
