question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
What is the Hueter-Volkmann law?,"The Hueter-Volkmann law states that compressive forces inhibit growth, whereas tension stimulates it.",,basicscience,,non-anatomic,,,,,,,
What is enchondral bone formation?,Enchondral bone formation is a process where bone replaces a cartilage model.,,basicscience,,non-anatomic,,,,,,,
Define intramembranous bone formation.,"Intramembranous bone formation is a process of bone formation without a cartilage model. Undifferentiated mesenchymal stem cells (MSCs) differentiate into osteoblasts, which form bone.",,basicscience,,non-anatomic,,,,,,,
What is appositional bone formation?,Appositional bone formation is when osteoblasts lay down new bone on existing bone; the groove of Ranvier supplies chondrocytes.,,basicscience,,non-anatomic,,,,,,,
What are the 3 stages of fracture repair?,"Inflammation, repair, and remodeling",,trauma,,non-anatomic,,,,,,,
What type of bone healing occurs with closed treatment of fractures?,Periosteal bridging callus and interfragmentary enchondral ossification.,,trauma,,non-anatomic,,,,,,,
What type of bone healing occurs with compression plating?,Primary cortical healing.,,trauma,,non-anatomic,,,,,,,
BMP-2 is used for?,Acute open tibia fractures,,basicscience,,non-anatomic,,,,,,,
BMP-7 is used for?,Tibial nonunions,,basicscience,,non-anatomic,,,,,,,
BMP with no osteogenic activity?,BMP-3,,basicscience,,non-anatomic,,,,,,,
Increased BMP-4 is associated with which pathologic condition?,Fibrodysplasia ossificans progressiva,,basicscience,,non-anatomic,,,,,,,
NSAIDs may adversely inhibit fracture healing via what mechanism?,COX-2 inhibition which is required for enchondral ossification,,basicscience,,non-anatomic,,,,,,,
What 3 properties do bone grafts have?,"Osteoconduction, osteoinduction, and osteogenesis",,basicscience,,non-anatomic,,,,,,,
What is osteoconduction?,Osteoconduction is the process that provides scaffolding for bone growth.,,basicscience,,non-anatomic,,,,,,,
What is osteoinduction?,Osteoinduction refers to the process where growth factors stimulate bone formation.,,basicscience,,non-anatomic,,,,,,,
What is the definition of osteogenesis?,"Osteogenesis is the process of laying down new bone, which involves the transformation from Mesenchymal Stem Cells (MSCs) to osteoblasts, and finally to osteocytes.",,basicscience,,non-anatomic,,,,,,,
What 2 capabilities do calcium phosphate-based grafts have?,Osteoconduction and osseointegration,,basicscience,,non-anatomic,,,,,,,
Which graft material has the highest compressive strength?,calcium phosphate,,basicscience,,non-anatomic,,,,,,,
Calcium sulfate grafts have what capability?,Osteoconduction,,basicscience,,non-anatomic,,,,,,,
What are the primary homeostatic regulators of serum calcium?,"PTH, and 1,25(OH)2-vitamin D3",,basicscience,,non-anatomic,,,,,,,
What does increased PTH result in?,increased serum Ca2+ and decreased inorganic phosphate,,basicscience,,non-anatomic,,,,,,,
At what age range does bone mass peak?,16-25,,basicscience,,non-anatomic,,,,,,,
Physiologic bone loss affects what type of bone most?,trabecular more than cortical,,basicscience,,non-anatomic,,,,,,,
What urinary chemical cross-links are elevated when there is bone resorption (2)?,hydroxyproline and pyridinoline,,basicscience,,non-anatomic,,,,,,,
What serum enzyme increases when bone formation increases?,alkaline phosphatase,,basicscience,,non-anatomic,,,,,,,
What is the most common cause of hypercalcemia?,malignancy,,onc,,non-anatomic,,,,,,,
What is the initial treatment of hypercalcemia?,saline diuresis along with loop diuretics,,onc,,non-anatomic,,,,,,,
What are the 2 most common causes of renal osteodystrophy?,Phosphrous retention and secondary hyperparathyroidism,,basicscience,,non-anatomic,,,,,,,
Rickets and osteomalacia are caused by?,failure of mineralization.,,basicscience,,non-anatomic,,,,,,,
What occurs at the growth plate in rickets?,The width of the zone of provisional calcifcation is increased which causes physeal widening and cupping.,,peds,,non-anatomic,,,,,,,
What defines osteoporosis?,Lumbar bone density of 2.5 standard deviations less than the peak bone mass of a healthy 25 year old (T-score),,basicscience,,non-anatomic,,,,,,,
What can you prescribe to treat osteoporosis?,Calcium supplements of 100 to 1500 mg/day and bisphosphonates,,basicscience,,non-anatomic,,,,,,,
What causes scurvy?,ascorbic acid deficiency,,basicscience,,non-anatomic,,,,,,,
What biochemical process occurs in scurvy?,Ascorbic acid deficiency causes decrease in chondoitin sulfate synthesis which leads to defective collagen growth and repair.,,basicscience,,non-anatomic,,,,,,,
What occurs at the growth plate in scurvy?,Widening of the zone of provisional calcification.,,peds,,non-anatomic,,,,,,,
Osteogenesis imperfecta is caused by a mutation in genes involved in what?,Metabolism and synthesis of type 1 collagen.,,basicscience,,non-anatomic,,,,,,,
What are the components of articular cartilage (4)?,"Water, type II collagen, proteoglycans, chondrocytes",,basicscience,,non-anatomic,,,,,,,
Type II collagen contains what major chemical?,Hydroxyproline,,basicscience,,non-anatomic,,,,,,,
Type II collagen provides what mechanical property?,Tensile strength.,,basicscience,,non-anatomic,,,,,,,
Proteoglycans are composed of what? And what are the major 2?,"Glycosaminoglycans; chondroitin sulfate, keratine sulfate",,basicscience,,non-anatomic,,,,,,,
Proteoglycans provide what mechanical properties (2)?,Compressive and elastic strength,,basicscience,,non-anatomic,,,,,,,
What transcription factor is the 'master switch' for differentiation of MSCs to chondrocytes?,SOX-9 transcriptional factor,,basicscience,,non-anatomic,,,,,,,
Define mechanotransduction.,Mechanotransduction is how metabolism is regulated by mechanical stimulation.,,basicscience,,non-anatomic,,,,,,,
What enzyme destroys cartilage matrix and what is it produced by?,Metalloproteinases; chondrocytes,,basicscience,,non-anatomic,,,,,,,
How does aging negatively impact cartilage?,Lack of anabolic response,,basicscience,,non-anatomic,,,,,,,
What causes osteoarthritis from a cellular standpoint?,Chondrocytes react to cytokines and produce enzymes which degrade matrix.,,basicscience,,non-anatomic,,,,,,,
What is increased in osteoarthritis (2)?,"water content, proteglycan degradation",,recon,,non-anatomic,,,,,,,
What components of cartilage are decreased in osteoarthritis (2)?,"proteoglycan content, keratin sulfate concentration",,basicscience,,non-anatomic,,,,,,,
What do Type A synovial cells act like?,Macrophages,,basicscience,,non-anatomic,,,,,,,
What do type B synovial cells do?,"Make the synovial ultrafiltrate fluid, known as boundary lubicant. (contains lubricin)",,basicscience,,non-anatomic,,,,,,,
What causes Charcot arthropathy?,disturbed sensory innervation (an extreme form of non-inflammatory arthritis characterized by radiographic findings worse than clinical complaints and fragments of bone in soft tissue),,footankle,,foot,,,,,,,
What is the most common cause of Charcot disease in the foot and ankle joints?,Diabetes,,footankle,,ankle,,,,,,,
What is the most common cause of Charcot disease in the upper extremity?,"Syringomyelia, followed by Hansen disease.",,hand,,hand,,,,,,,
What is ochronosis and what causes it?,Black cartilage arthritis caused by alkaptonuria.,,basicscience,,non-anatomic,,,,,,,
What is often the first presentation of hemochromatosis?,Chondrocalcinosis (cirrhosis and skin bronzing occur later),,basicscience,,non-anatomic,,,,,,,
What does rheumatoid arthritis affect first?,Synovium and soft tissue,,basicscience,,non-anatomic,,,,,,,
What are the late microscopic synovial changes seen in rheumatoid arthritis (3)?,"hyperplastic cells, increased blood vessels, abundant lymphocytes",,basicscience,,non-anatomic,,,,,,,
How is cartilage damaged in rheumatoid arthritis?,Pannus ingrowth denudes articular cartilage,,recon,,non-anatomic,,,,,,,
What do most DMARDs target?,TNF-alpha,,basicscience,,non-anatomic,,,,,,,
What is systemic lupus erythematosus?,an autoimmune disease again nucleic acids and nuclear proteins (ANA positive) characterized by immune complex deposition,,basicscience,,non-anatomic,,,,,,,
Seronegative spondylarthritides are distinguished by what titers?,Negative RF titer and negative ANA,,spine,,spine,,,,,,,
What is most commonly seen in ankylosing spondylitis?,"fused sacroiliac joints, frequent back involvement leading to stiffness (positive Schober flexion test)",,spine,,spine,,,,,,,
What is reactive arthritis?,"A syndrome where the immune system is reactive to external infections, often of the mucosa, and often has swelling of a knee, along with eye and urolgic symptoms.",,recon,,non-anatomic,,,,,,,
What hand joint does psoriatic arthritis commonly affect?,the DIPJs,,hand,,hand,,,,,,,
What is enteropathic arthritis associated with?,Inflammatory bowel disease,,basicscience,,non-anatomic,,,,,,,
What causes gout?,Deposition of monosodium urate crystals in joints,,basicscience,,non-anatomic,,,,,,,
What is the classical radiographic finding in gout?,Punched out periarticular erosions,,basicscience,,non-anatomic,,,,,,,
What is used in the initial treatment of gout?,Indomethacin,,basicscience,,non-anatomic,,,,,,,
What does allopurinol do?,Lowers serum acid levels chronically,,basicscience,,non-anatomic,,,,,,,
What is colchicine used for?,Gout prophylaxis,,basicscience,,non-anatomic,,,,,,,
What do gout crystals look like? Birefringence?,"Spindles, negativel biregfringent",,basicscience,,non-anatomic,,,,,,,
What do pseudogout crystals look like? Birefringence?,"Rhomboids, positively birefringent",,basicscience,,non-anatomic,,,,,,,
What is pseudogout caused by?,Calcium pyrophosphate depposition (CPPD),,basicscience,,non-anatomic,,,,,,,
What causes hemophilic arthropathy? What joint does it most commonly involve?,"Factor VIII deficiency, the knee",,peds,,knee,,,,,,,
How is hemophilic arthropathy treated?,Correction of factor levels,,basicscience,,non-anatomic,,,,,,,
What causes acute rheumatic fever? What syndromes are seen?,"Group A strep; arthritides, carditis, erythema marginatum, chorea",,basicscience,,non-anatomic,,,,,,,
What Causes Whipple disease? What syndromes are seen?,"Tropheryma whipplei; arthritides, diarrhea",,basicscience,,non-anatomic,,,,,,,
What causes Lyme disease? What syndromes are seen?,"Borrelia burgdorferi; erythema migrans, bell palsy, meningitis",,basicscience,,non-anatomic,,,,,,,
What is myasthenia gravis?,Autoimmune disease that destroyes acetylcholine receptors at the neuromuscular junction; leads to defect in transmission of nerve impulses to muscles,,basicscience,,non-anatomic,,,,,,,
What does botulinum A do?,BLocks presynaptic acetylcholine release at the motor end plate,,basicscience,,non-anatomic,,,,,,,
What determines muscle tension and contractile force?,Cross-sectional area,,basicscience,,non-anatomic,,,,,,,
What determines skeletal muscle velocity?,Fiber length,,basicscience,,non-anatomic,,,,,,,
What are the 3 types of muscle contraction and how can they be defined?,"Isotonic contraction is when there is constant muscle tension throughout the range of motion, such as in a biceps curl with free weights. Isometric contraction is when the muscle length remains unchanged, like when pushing against a wall. Isokinetic contraction is when the muscle contracts at a constant velocity over a full range of motion, as seen with a Cybex machine.",,basicscience,,non-anatomic,,,,,,,
Describe the properties of Type I skeletal muscle,"Type I skeletal muscle is red, slow twitch, fatigue resistant, and aerobic (oxidative).",,basicscience,,non-anatomic,,,,,,,
What are the properties of Type II skeletal muscle?,"Type II skeletal muscle is white (IIA), anaerobic, fast twitch, and fatigable.",,basicscience,,non-anatomic,,,,,,,
What biochemical system is used in muscle activities lasting less than 20 seconds?,"ATP-creatin phopshate system, anaerobic, produces no lactate",,basicscience,,non-anatomic,,,,,,,
What biochemical system is used in muscle activites lasting 20-120 seconds?,Lactic acid metabolism,,basicscience,,non-anatomic,,,,,,,
What changes are seen in muscle with strength training (4)?,"Increases in myofibrils, fiber size, cross-sectional area, and hypertrophy of type II fibers",,basicscience,,non-anatomic,,,,,,,
Muscle tear healing is reliant on what cells?,satellite cells,,basicscience,,non-anatomic,,,,,,,
What stimulates proliferation of myofibroblasts and increases fibrosis in muscle tear healing?,TGF-beta,,basicscience,,non-anatomic,,,,,,,
What are the first cells recruited in acute muscle injury?,Neutrophils,,basicscience,,non-anatomic,,,,,,,
What causes muscle soreness?,Edema and inflammation in connective tissues,,basicscience,,non-anatomic,,,,,,,
Which nerves are good candidates for grouped fascicular repair?,Median and ulnar nerves at the distal third of the foream and the sciatic nerve.,,hand,,forearm,,,,,,,
What properties does decorin have?,Antifibrotic,,basicscience,,non-anatomic,,,,,,,
Tendons receive blood supply through what system?,The vincular system if sheathed and through simple diffusion from the paratenon,,basicscience,,non-anatomic,,,,,,,
When are surgical tendon repairs weakest?,Days 7-10,,basicscience,,non-anatomic,,,,,,,
What do tenocytes do?,Generate ECM in tendons,,basicscience,,non-anatomic,,,,,,,
What is the first collagen type produced at sites of tendon injury?,Type III collagen,,sports,,non-anatomic,,,,,,,
Where is the achilles tendon hypovascular?,4-6cm proximal to the calcaneal insertion,,footankle,,ankle,,,,,,,
What are ligaments composed of?,Type 1 collagen and elastin,,basicscience,,non-anatomic,,,,,,,
How ligaments differ from tendons (4)?,"less collagen, more proteglycans (and water), highly cross-linked collagen, perfused at insertion sites",,basicscience,,non-anatomic,,,,,,,
What ligament fibers insert into the periosteum?,Sharpey fibers,,basicscience,,non-anatomic,,,,,,,
Nucleus pulposus collagen/proteoglycan ratio (high/low)?,Low,,spine,,spine,,,,,,,
Annulus fibrosis collagen/proteglycan ratio (high or low)?,High,,spine,,spine,,,,,,,
What innervates the superficial fiburs of the annulus pulposus? Where does it come from?,The sinuvertebral nerve from the dorsal root ganglion,,spine,,spine,,,,,,,
What acts on cells during early degenerative disc disease?,IL-1beta,,spine,,spine,,,,,,,
What occurs in intervertebral discs during aging (4)?,"loss of water, decrease/fragmentation of proteoglycans, increased keratin sulfate/chondroitin sulfate ratio, no change in quantity of collagin",,spine,,spine,,,,,,,
What graft should be used for lesions larger than 2cm?,osteochondral allograft,,sports,,knee,,,,,,,
What graft should be used for lesions smaller than 2cm?,osteochondral autograft,,sports,,knee,,,,,,,
Which antibody is associated with Scleroderma?,Anti-Scl-70,,basicscience,,non-anatomic,,,,,,,
Anti-Scl-70 causes what?,Scleroderma,,basicscience,,non-anatomic,,,,,,,
What is the associated chromosome for Polymyositis and Dermatomyositis?,Anti-Jo-1,,basicscience,,non-anatomic,,,,,,,
Anti-Jo-1 causes what?,polymyositis and dermatomyositis,,basicscience,,non-anatomic,,,,,,,
What is the specific antibody for SLE that is not sensitive?,Anti-Sm (only in 1/5 of those with SLE),,basicscience,,non-anatomic,,,,,,,
Anti-Sm is linked to what?,SLE,,basicscience,,non-anatomic,,,,,,,
Mixed connective tissue disease chromosome?,Anti-RNP,,basicscience,,non-anatomic,,,,,,,
Anti-RNP is associated with what?,Mixed connective tissue disease,,basicscience,,non-anatomic,,,,,,,
Which chromosome is implicated in SLE nephritis?,Anti-ds-DNA,,basicscience,,non-anatomic,,,,,,,
Anti-ds-DNA is linked to what?,SLE,,basicscience,,non-anatomic,,,,,,,
What is the antibody present in drug-induced lupus?,Antihistone,,basicscience,,non-anatomic,,,,,,,
Antihistone is present in what?,Drug induced lupus,,basicscience,,non-anatomic,,,,,,,
Chromosomes in Sjogren Syndrome?,Anti-Ro and Anti-La,,basicscience,,non-anatomic,,,,,,,
Anti-Ro and Anti-La are linked to what?,Sjogren Syndrome,,basicscience,,non-anatomic,,,,,,,
pRb is implicated in what (2)?,Retinoblastoma and osteosarcoma,,onc,,non-anatomic,,,,,,,
p53 is implicated in what (3)?,"osteosarcoma, rhabdomyosarcoma, chondrosarcoma",,onc,,non-anatomic,,,,,,,
What is a plasmid?,A small extrachromosomal circular piece of DNA that replicated independently of DNA,,basicscience,,non-anatomic,,,,,,,
What does Southern Blots detect?,DNA,,basicscience,,non-anatomic,,,,,,,
What does Northern blots detect?,RNA,,basicscience,,non-anatomic,,,,,,,
What do Western blots detect?,Protein (amino acids),,basicscience,,non-anatomic,,,,,,,
What does RT-PCR do?,Produces DNA from RNA,,basicscience,,non-anatomic,,,,,,,
What mediates type II hypersensitivity?,Antibodies,,basicscience,,non-anatomic,,,,,,,
What type of hypersensitivity reaction is heparin-induced thrombocytopenia and myasthenia gravis?,Type II hypersensitivity,,basicscience,,non-anatomic,,,,,,,
What type of hypersensitivity occurs in response to orthopedic hardware?,Type IV,,basicscience,,non-anatomic,,,,,,,
What hypersensitivity syndrome occurs years after total hip arthroplasty?,Pseudotumor hypersensitivity syndrome,,recon,,hip,,,,,,,total hip arthroplasty
What is the rheumatoid factor in terms of immunoglobulin?,It is IgM against IgG,,basicscience,,non-anatomic,,,,,,,
What immunoglobulin is seen in mucosa-associated lymphoid tissue?,IgA,,basicscience,,non-anatomic,,,,,,,
Which immunoglobulin mediates type I hypersensitvity reactions?,IgE,,basicscience,,non-anatomic,,,,,,,
What are the first cells recruited to the site of injury?,Neutrophils,,basicscience,,non-anatomic,,,,,,,
What cells initiate the inflammatory response in osteolysis/aseptic loosening? What do they respond to?,Macrophages; particles smaller than 1uM,,recon,,hip,,,,,,,
What enzyme does ibuprofen inhibit?,COX,,,,non-anatomic,,,,,,,
What are anti-TNF-alpha medications associated with?,Opportunistic infections,,,,non-anatomic,,,,,,,
What does TGF-beta promote?,Fibrosis,,basicscience,,non-anatomic,,,,,,,
What is a potentially deadly complication of unmanaged draining sinus tracts in osteomyelitis or burns for more than 20 years?,malignant degeneration into squamous cell carcinoma,,onc,,non-anatomic,,,,,,,
Carcinoembryonic antigen (CEA) is a tumor antigen for what cancer?,colorectal carcinoma,,onc,,non-anatomic,,,,,,,
Carbohydrate antigen 19-9 (CA 19-9) is a tumor antigen for what cancer?,Pancreatic cancer,,onc,,non-anatomic,,,,,,,
Carbohydrate antigen 125 (CA-125)is a tumor antigen for what cancer?,ovarian cancer,,onc,,non-anatomic,,,,,,,
Cancer antigen (CA-15-3) is a tumor antigen for what cancer?,breast cancer,,onc,,non-anatomic,,,,,,,
alpha-fetoprotein (AFP) is a tumor antigen for what cancer?,hepatocellular carcinoma,,onc,,non-anatomic,,,,,,,
What is the tumor antigen associated with colorectal carcinoma?,Carcinoembryonic antigen (CEA),,onc,,non-anatomic,,,,,,,
What is the tumor antigen associated with pancreatic cancer?,Carbohydrate antigen 19-9 (CA 19-9),,onc,,non-anatomic,,,,,,,
What is the tumor antigen associated with ovarian cancer?,Carbohydrate antigen 125 (CA-125),,onc,,non-anatomic,,,,,,,
What is the tumor antigen associated with breast cancer?,Cancer antigen 15-3 (CA 15-3),,onc,,non-anatomic,,,,,,,
What is the tumor antigen associated with hepatocellular carcinoma?,Alpha-fetoprotein (AFP),,onc,,non-anatomic,,,,,,,
Name the four classic modes of mendelian inheritance.,"autosomal dominant, autosomal recessive, X-linked recessive, X-linked dominant",,basicscience,,non-anatomic,,,,,,,
What is the genetic defect and inheritance pattern in achondroplasia?,The genetic defect in achondroplasia is FGFR3 and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,achondroplasia,,,,,
What is the genetic defect and inheritance pattern in Apert syndrome?,The genetic defect is FGFR2 and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,apert_syndrome,,,,,
What is the genetic defect and inheritance pattern in cleidocranial dysplasia?,The genetic defect is CBFA1 and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,cleidocranial_dysplasia,,,,,
What is the genetic defect and inheritance pattern in Charcot-Marie-Tooth disease?,The genetic defect is PMP22 and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,charcot_marie_tooth_disease,,,,,
What is the genetic defect and inheritance pattern in pseudoachondroplasia?,The genetic defect in pseudoachondroplasia is COMP and its inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,pseudoachondroplasia,,,,,
What is the genetic defect and inheritance pattern in SED congenital?,The genetic defect in SED congenital is COL2A1 for type II collagen and its inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,sed_congenital,,,,,
What is the genetic defect and inheritance pattern in Kniest syndrome?,The genetic defect is Type II collagen and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,kniest_syndrome,,,,,
What is the genetic defect and inheritance pattern in MED type I?,The genetic defect is COMP and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,med_type_1,,,,,
What is the genetic defect and inheritance pattern in MED Type 2?,The genetic defect is Type IX collagen and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,med_type_2,,,,,
What is the genetic defect and inheritance pattern in Jansen metaphyseal chondrodysplasia?,The genetic defect is PTHrP and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,jansen_metaphyseal_chondrodysplasia,,,,,
What is the genetic defect and inheritance pattern in Schmid metaphyseal chondrodysplasia?,The genetic defect is Type X collagen and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,schmid_metaphyseal_chondrodysplasia,,,,,
What is the name of the genetic defect and inheritance pattern in the most common type of Ehlers-Danlos?,The genetic defect is COL and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,ehlers_danlos,,,,,
What is the genetic defect and inheritance pattern in hereditary multiple exostoses?,The genetic defect in hereditary multiple exostoses is EXT1/EXT2/EXT3 and the inheritance pattern is autosomal dominant.,,onc,basicscience,non-anatomic,,hereditary_multiple_exostoses,,,,,
What is the genetic defect and inheritance pattern in Neurofibromatosis?,"The genetic defects are NF1 and NF2, and the inheritance pattern is autosomal dominant.",,peds,basicscience,non-anatomic,,neurofibromatosis,,,,,
What is the genetic defect and inheritance pattern in Marfan syndrome?,The genetic defect is FBN1 and the inheritance pattern is autosomal dominant.,,peds,basicscience,non-anatomic,,marfan_syndrome,,,,,
What is the genetic defect and inheritance pattern in osteogenesis imperfecta (Types I and IV)?,COL1A1/COL1A2,,peds,basicscience,non-anatomic,,osteogenesis_imperfecta,,,,,
FGFR3 mutations is associated with what syndrome? What is its inheritance?,Achondroplasia; Autosomal dominant,,peds,basicscience,non-anatomic,,achondroplasia,,,,,
FGFR2 mutations is associated with what syndrome? What is its inheritance?,Apert Syndrome; autosomal dominant,,peds,basicscience,non-anatomic,,apert_syndrome,,,,,
CBFA1 mutations is associated with what syndrome? What is its inheritance?,Cleidocranial dysplasia; autosomal dominant,,peds,basicscience,non-anatomic,,cleidocranial_dysplasia,,,,,
PMP22 mutations is associated with what syndrome? What is its inheritance?,Charcot-Marie-Tooth; autosomal dominant,,peds,basicscience,non-anatomic,,charcot_marie_tooth_disease,,,,,
COMP mutations is associated with what syndrome? What is its inheritance?,Pseudoachondroplasia; autosomal dominant,,peds,basicscience,non-anatomic,,pseudoachondroplasia,,,,,
COL2A1 for Type II collagen mutations is associated with what syndrome? What is its inheritance?,SED congenital; autosomal dominant,,peds,basicscience,non-anatomic,,sed_congenital,,,,,
COL mutations is associated with what syndrome? What is its inheritance?,Ehler's-Danlos; autosomal dominant,,peds,basicscience,non-anatomic,,ehlers_danlos,,,,,
EXT1/EXT2/EXT3 mutations is associated with what syndrome? What is its inheritance?,Hereditary multiple exostoses; autosomal dominant,,peds,basicscience,non-anatomic,,hereditary_multiple_exostoses,,,,,
"NF1, NF2 mutations is associated with what syndrome? What is its inheritance?",Neurofibromatosis; autosomal dominant,,peds,basicscience,non-anatomic,,neurofibromatosis,,,,,
FBN1 mutations is associated with what syndrome? What is its inheritance?,Marfan syndrome; autosomal dominant,,peds,basicscience,non-anatomic,,marfan_syndrome,,,,,
COL1A1 and COL1A2 mutations is associated with what syndrome? What is its inheritance?,Osteogenesis imperfecta Types I and IV; autosomal dominant,,peds,basicscience,non-anatomic,,osteogenesis_imperfecta,,,,,
Diastrophic dysplasia is associated with what genetic defect? What is its inheritance?,DTD-ST (sulfate transport protein); autosomal recessive,,peds,basicscience,non-anatomic,,diastrophic_dysplasia,,,,,
Friedreich ataxia is associated with what genetic defect? What is its inheritance?,Frataxin; autosomal recessive,,peds,basicscience,non-anatomic,,friedreich_ataxia,,,,,
Gaucher disease is associated with what genetic defect? What is its inheritance?,Lysosomal glucocerebrosidase; autosomal recessive,,peds,basicscience,non-anatomic,,gaucher_disease,,,,,
Sickle cell disease is associated with what genetic defect? What is its inheritance?,HbSS; autosomal recessive,,peds,basicscience,non-anatomic,,sickle_cell_disease,,,,,
Osteogenesis imperfecta type II and III is associated with what genetic defect? What is its inheritance?,COL1A1 and COL1A2; autosomal recessive,,peds,basicscience,non-anatomic,,osteogenesis_imperfecta,,,,,
Charcot Marie Tooth (rare form) is associated with what genetic defect? What is its inheritance?,Connexin; Autosomal recessive,,peds,basicscience,non-anatomic,,charcot_marie_tooth_disease,,,,,
What is the inheritance pattern of osteopetrosis tardar form?,Autosomal dominant,,peds,basicscience,non-anatomic,,osteopetrosis,,,,,
What is the inheritance pattern of osteopetrosis malignant form?,Autosomal recessive,,peds,basicscience,non-anatomic,,osteopetrosis,,,,,
DTD-ST (sulfate transport protein) is associated with what genetic condition? What is its inheritance?,Diastrophric dysplasia; autosomal recessive,,peds,basicscience,non-anatomic,,diastrophic_dysplasia,,,,,
Frataxin is associated with what genetic syndrome? What is its inheritance?,Friedreich ataxia; autosomal recessive,,peds,basicscience,non-anatomic,,friedreich_ataxia,,,,,
Lysosomal glucoerebrosidase is associated with what genetic syndrome? What is its inheritance?,Gaucher disease; autosomal recessive,,peds,basicscience,non-anatomic,,gaucher_disease,,,,,
HbSS is associated with what genetic syndrome? What is its inheritance?,Sickle cell disease; autosomal recessive,,peds,basicscience,non-anatomic,,sickle_cell_disease,,,,,
Connexin is associated with what genetic syndrome? What is its inheritance?,Charcot Marie Tooth (rare form); autosomal recessive,,peds,basicscience,non-anatomic,,charcot_marie_tooth_disease,,,,,
What is the inheritance pattern of thrombocytopenia-aplasia of radius (TAR)?,autosomal recessive,,peds,basicscience,non-anatomic,,thrombocytopenia_aplasia_radius,,,,,
Duchenne and Becker muscular dystrophy are associated with what genetic defect? What is its inheritance?,Dystrophin; X-linked recessive,,peds,basicscience,non-anatomic,,muscular_dystrophy,,,,,
Hemophilia A and B are associated with what genetic defects? What is its inheritance?,Factors VIII or IX; X-linked recessive,,peds,basicscience,non-anatomic,,hemophilia,,,,,
SED tarda is associated with what genetic defect? What is its inheritance?,COL2A1; X-linked recessive,,peds,basicscience,non-anatomic,,sed_tarda,,,,,
Dystrophin is associated with what genetic syndromes? What is its inheritance?,Duchenne and Becker muscular dystrophry; X-linked recessive,,peds,basicscience,non-anatomic,,muscular_dystrophy,,,,,
Factors VIII and IX  are associated with what genetic syndrome? What is its inheritance?,Hemophilia; X-linked recessive,,peds,basicscience,non-anatomic,,hemophilia,,,,,
