#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
<div><div><b>Paget disease of bone</b> is characterized by {{c1::<u>elevated</u>}} serum <b>alkaline phosphatase</b> </div></div>	"<div><i>may be an important distinguishing feature from osteopetrosis</i> </div><div><img src=""paste-158724811391355.jpg"" /></div>"					"<img src=""tmpebaH3l_1566160514431.png""><br/>"	"<div><br></div><div><img src=""paste-83150566852454.jpg""></div><img src=""tmpfaydQM_1566160514431-48204d4a9eb42f796ea26750b7c7789ba0cda674.png"">"			"<b>Atlas:</b><br>
<img src=""tmplxJb3v_1566160514431.png""><br/><img src=""tmpTx11qJ_1566160514431.png""><br/>"	"#AK_Step1_v7::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v7::#FirstAid::04_Pathology::03_Neoplasia::12_Serum_tumor_markers #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::12_Osteitis_deformans #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::14_Lab_values_in_bone_disorders #AK_Step1_v7::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v7::#Physeo::03_Physiology::09_MSK::03_Osteoblasts_&_Osceoclasts #AK_Step1_v7::#SketchyPath::12_MSK_&_Derm::01_Bone::01_Osteoporosis_&_Paget_Disease_of_Bone #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#AMBOSS::Musculoskeletal #AK_Step1_v9::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v9::#FirstAid::04_Pathology::03_Neoplasia::12_Serum_tumor_markers #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::12_Osteitis_deformans #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::14_Lab_values_in_bone_disorders #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::03_Physiology::09_MSK::03_Osteoblasts_&_Osceoclasts #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::01_Osteoporosis_&_Paget_Disease_of_Bone #AK_Step1_v9::Musculoskeletal::Pathology"
<div><div>One complication of<b> {{c3::Paget disease of bone}}</b> is <u>{{c1::high-output heart failure}}</u> due to formation of <b>{{c2::AV shunts}}</b> in <b>bone</b> </div><div><br></div><div><br></div></div>		<div>More bone will lead to more vasculature; High output heart failure is characterized by low SVR and increased CO/VR (Heart cant meet demands of body even with increased cardiac output)</div>				"<img src=""tmpebaH3l_1566160514431.png""><br/>"	"<img src=""paste-82678120449894.jpg"" /><br/><img src=""tmpfaydQM_1566160514431-48204d4a9eb42f796ea26750b7c7789ba0cda674.png"">"			"<b>Atlas:</b><br>
<img src=""tmplxJb3v_1566160514431.png""><br/><img src=""tmpTx11qJ_1566160514431.png""><br/>"	"#AK_Step1_v9::#B&B::05_Cardio::06_Heart_Failure::02_Systolic_&_Diastolic_Heart_Failure #AK_Step1_v9::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::12_Osteitis_deformans #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::01_Osteoporosis_&_Paget_Disease_of_Bone #AK_Step1_v9::Musculoskeletal::Pathology"
<div><div><b>Osteomyelitis</b> in <u>children</u> arises with <b>transient <i>bacteremia</i></b> that seeds the <b>{{c1::metaphysis}}</b></div></div>	"<img src=""paste-185357903593864.jpg"" />"					"From microbiology section:<br/><img src=""tmpq0s9ff_1566160514431.png""><br/>"				"<b>Atlas:</b><br>
<img src=""tmpMqFylk_1566160514431.png""><br/><img src=""tmp4pKYXm_1566160514431.png""><br/>"	"#AK_Step1_v7::#FirstAid::03_Micro::06_Systems::08_Osteomyelitis #AK_Step1_v7::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#AMBOSS::Musculoskeletal #AK_Step1_v9::#FirstAid::03_Micro::06_Systems::08_Osteomyelitis #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::Musculoskeletal::Pathology"
<div><div><b>Osteomyelitis</b> in <u>adults</u> arises with <b>open-wound bacteremia</b> that seeds the <b>{{c1::epiphysis}}</b></div></div>	"<img src=""paste-185362198561160.jpg"" draggable=""false"">"	Children get osteomyelitis in the metaphysis				"From microbiology section:<br/><img src=""tmpq0s9ff_1566160514431.png""><br/>"				"<b>Atlas:</b><br>
<img src=""tmpMqFylk_1566160514431.png""><br/><img src=""tmp4pKYXm_1566160514431.png""><br/>"	"#AK_Step1_v7::#FirstAid::03_Micro::06_Systems::08_Osteomyelitis #AK_Step1_v7::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#FirstAid::03_Micro::06_Systems::08_Osteomyelitis #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::Musculoskeletal::Pathology"
"<div>Imaging of <b>osteosarcoma</b> may reveal a ""{{c1::sunburst}}"" pattern on X-ray</div>"	"<img src=""paste-168130789769545.jpg"" />"					"<img src=""tmpFNZ6V6_1566160514431.png""><br/><img src=""tmpMChupg_1566160514431.png""><br/>"	"<img src=""paste-636973714769756.jpg""><br><br><br><img src=""tmpYHEIac_1566160514431-8c1d5f183b89882d45081996b41fad8f394889fb.png"">"			"<b>Atlas:</b><br>
<img src=""tmpJRsdsb_1566160514431.png""><br/><img src=""tmpGUnRrF_1566160514431.png""><br/>"	"#AK_Step1_v9::#B&B::14_MSK::03_Pathology::04_Bone_Tumors #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors::malignant_osteosarcoma #AK_Step1_v9::#NBME::Form_18 #AK_Step1_v9::#Pathoma::18_MSK::02_Bone_Tumors #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::02_Bone_Tumors #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::04_Malignant_Bone_Tumors #AK_Step1_v9::Musculoskeletal::Pathology #AK_Step2_v4::!Shelf::Peds::no_dupes #AK_Step2_v4::#OME::11_Pediatrics::21_Orthopedics #AK_Step2_v4::#OME::16_Surgical_Subspecialties::09_Peds_Ophtho #AK_Step2_v4::#Resources::Peds::step1_pediatrics_zanki #AK_Step2_v4::OG_decks::Zanki_Step_2::Peds::Step_1_Pediatrics"
<div><b>Giant cell tumor</b> is a bone tumor comprised of <u>multinucleated giant</u> cells and <u>stromal</u> cells that express {{c1::RANKL}}</div><div><br /></div><div><div><br /></div></div>						"<img src=""tmpFNZ6V6_1566160514431.png""><br/><img src=""tmpMChupg_1566160514431.png""><br/>"	"<br /><img src=""paste-406136402478940.jpg"" />"			"<b>Atlas:</b><br>
<br/><img src=""tmpjTWPOR_1566160514431.png"">"	"#AK_Step1_v7::#B&B::14_MSK::03_Pathology::04_Bone_Tumors #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors::benign_giant_cell #AK_Step1_v7::#Pathoma::18_MSK::02_Bone_Tumors #AK_Step1_v7::#SketchyPath::12_MSK_&_Derm::01_Bone::03_Benign_Bone_Tumors #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#B&B::14_MSK::03_Pathology::04_Bone_Tumors #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors::benign_giant_cell #AK_Step1_v9::#Pathoma::18_MSK::02_Bone_Tumors #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::02_Bone_Tumors #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::03_Benign_Bone_Tumors #AK_Step1_v9::Musculoskeletal::Pathology"
<div>Which <u>bone tumor</u> arises in the <b>epiphysis</b> of <b>long bones</b>?</div><div><br /></div><div>{{c1::Giant cell tumor}}</div>	"<img src=""paste-167495134609759.jpg"" />"					"<img src=""tmpFNZ6V6_1566160514431.png""><br/><img src=""tmpMChupg_1566160514431.png""><br/>"	"<img src=""paste-406132107511644.jpg""><img src=""paste-406617438816092.jpg""><br><img src=""tmpW1iD5l_1566160514431-eacd61ceb86ac9a3543b284eb651fd8c9fd79b70.png"">"			"<b>Atlas:</b><br>
<br/><img src=""tmpjTWPOR_1566160514431.png"">"	"#AK_Step1_v9::#B&B::14_MSK::03_Pathology::04_Bone_Tumors #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::15_Primary_bone_tumors::benign_giant_cell #AK_Step1_v9::#Pathoma::18_MSK::02_Bone_Tumors #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::02_Bone_Tumors #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::03_Benign_Bone_Tumors #AK_Step1_v9::Musculoskeletal::Pathology #AK_Step2_v4::!Shelf::Peds::no_dupes #AK_Step2_v4::#Resources::Peds::step1_pediatrics_zanki #AK_Step2_v4::OG_decks::Zanki_Step_2::Peds::Step_1_Pediatrics"
<div><b>Seronegative spondyloarthropathies</b> are associated with <b>HLA-{{c1::B27}}</b> </div>						"<img src=""tmp8sWYck_1566160514431.png""><br/>"				"<b>Atlas:</b><br>
<br/><img src=""tmpnYdMsQ_1566160514431.png"">"	"#AK_Step1_v9::!FLAG_THESE_CARDS::Duplicates #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::22_Seronegative_spondyloarthropathies #AK_Step1_v9::#Pathoma::18_MSK::03_Joint #AK_Step1_v9::Musculoskeletal::Pathology #AK_Step2_v4::!Shelf::IM::no_dupes #AK_Step2_v4::#OME::08_Rheumatology::06_Seronegative_Arthritis #AK_Step2_v4::#Resources::IM::ome::rheum::seronegative_arthritis #AK_Step2_v4::OG_decks::Dorian::im::ome::rheum::seronegative_arthritis"
<div>What is the <u>treatment</u> for <b>dermatomyositis</b> and <b>polymyositis</b>? </div><div><br /></div><div>{{c1::Corticosteroids, followed by immunosuppressant therapy}}</div><div><br /></div><div><b><br /></b></div>	"<i><img src=""paste-971538782224387.jpg""></i><i><img src=""tmpa83a59_thumb2_1566160514431.png""></i>"					"<img src=""tmpBmB2L9_1566160514431.png""><br/>"	"<br/><img src=""tmps52Yeo_1566160514431.png"">"				"#AK_Step1_v9::#B&B::14_MSK::03_Pathology::10_Muscle_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::27_Polymyositis/dermatomyositis #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::27_Polymyositis/dermatomyositis::polymyositis #AK_Step1_v9::#Pathoma::18_MSK::04_Skeletal_Muscle #AK_Step1_v9::#Pathoma::18_MSK::04_Skeletal_Muscle::skeletal #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::06_Skeletal_Muscle_Disorders #AK_Step1_v9::#SketchyPath::11_Immunology::01_Autoimmune_&_Amyloidosis::03_Polymyositis_&_Dermatomyositis #AK_Step1_v9::Musculoskeletal::Pathology #AK_Step2_v4::!Shelf::FM::no_dupes #AK_Step2_v4::!Shelf::IM::no_dupes #AK_Step2_v4::#OME::08_Rheumatology::04_Other_Connective_Tissue #AK_Step2_v4::#Resources::FM::ome::rheum::other_connective_tissue #AK_Step2_v4::#Resources::IM::ome::rheum::other_connective_tissue #AK_Step2_v4::#Resources::IM::uw::rheum/ortho::rheum/ortho_dorian #AK_Step2_v4::OG_decks::Dorian::fam::ome::rheum::other_connective_tissue #AK_Step2_v4::OG_decks::Dorian::im::ome::rheum::other_connective_tissue #AK_Step2_v4::OG_decks::Dorian::im::uw::rheum/ortho"
<div>What <u>vasculitis</u> is associated with <b>polymyalgia rheumatica</b>? </div><div><br /></div><div>{{c1::Giant cell (temporal) arteritis}}</div><div><br /></div><div><b><br /></b></div>						"<img src=""tmp0kJ66N_1566160514431.png""><br/>"					"#AK_Step1_v9::#B&B::14_MSK::03_Pathology::10_Muscle_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::25_Polymyalgia_rheumatica #AK_Step1_v9::#Pathoma::18_MSK::04_Skeletal_Muscle #AK_Step1_v9::#Pathoma::18_MSK::04_Skeletal_Muscle::skeletal #AK_Step1_v9::#Pixorize::02_Biochem::16_Vasculitides::01_Giant_Cell_(Temporal)_Arteritis #AK_Step1_v9::Musculoskeletal::Pathology #AK_Step2_v4::!Shelf::FM::no_dupes #AK_Step2_v4::OG_decks::Dorian::fam::amboss"
