What are osteoblasts derived from?	Undifferentiated mesenchymal stem cells	
CBFA1 mutations is associated with what syndrome? What is its inheritance?	Cleidocranial dysplasia; autosomal dominant	
PMP22 mutations is associated with what syndrome? What is its inheritance?	Charcot-Marie-Tooth; autosomal dominant	
COMP mutations is associated with what syndrome? What is its inheritance?	Pseudoachondroplasia; autosomal dominant	
COL2A1 for Type II collagen mutations is associated with what syndrome? What is its inheritance?	SED congenital; autosomal dominant	
COL mutations is associated with what syndrome? What is its inheritance?	Ehler's-Danlos; autosomal dominant	
EXT1/EXT2/EXT3 mutations is associated with what syndrome? What is its inheritance?	Hereditary multiple exostoses; autosomal dominant	
NF1, NF2 mutations is associated with what syndrome? What is its inheritance?	Neurofibromatosis; autosomal dominant	
FBN1 mutations is associated with what syndrome? What is its inheritance?	Marfan syndrome; autosomal dominant	
COL1A1 and COL1A2 mutations is associated with what syndrome? What is its inheritance?	Osteogenesis imperfecta Types I and IV; autosomal dominant	
Diastrophic dysplasia is associated with what genetic defect? What is its inheritance?	DTD-ST (sulfate transport protein); autosomal recessive	
Friedreich ataxia is associated with what genetic defect? What is its inheritance?	Frataxin; autosomal recessive	
Gaucher disease is associated with what genetic defect? What is its inheritance?	Lysosomal glucocerebrosidase; autosomal recessive	
Sickle cell disease is associated with what genetic defect? What is its inheritance?	HbSS; autosomal recessive	
Osteogenesis imperfecta type II and III is associated with what genetic defect? What is its inheritance?	COL1A1 and COL1A2; autosomal recessive	
Charcot Marie Tooth (rare form) is associated with what genetic defect? What is its inheritance?	Connexin; Autosomal recessive	
What is the inheritance pattern of osteopetrosis tardar form?	Autosomal dominant	
What is the inheritance pattern of osteopetrosis malignant form?	Autosomal recessive	
DTD-ST (sulfate transport protein) is associated with what genetic condition? What is its inheritance?	Diastrophric dysplasia; autosomal recessive	
Frataxin is associated with what genetic syndrome? What is its inheritance?	Friedreich ataxia; autosomal recessive	
Lysosomal glucoerebrosidase is associated with what genetic syndrome? What is its inheritance?	Gaucher disease; autosomal recessive	
HbSS is associated with what genetic syndrome? What is its inheritance?	Sickle cell disease; autosomal recessive	
Connexin is associated with what genetic syndrome? What is its inheritance?	Charcot Marie Tooth (rare form); autosomal recessive	
What is the inheritance pattern of thrombocytopenia-aplasia of radius (TAR)?	autosomal recessive	
Duchenne and Becker muscular dystrophy are associated with what genetic defect? What is its inheritance?	Dystrophin; X-linked recessive	
Hemophilia A and B are associated with what genetic defects? What is its inheritance?	Factors VIII or IX; X-linked recessive	
SED tarda is associated with what genetic defect? What is its inheritance?	COL2A1; X-linked recessive	
Dystrophin is associated with what genetic syndromes? What is its inheritance?	Duchenne and Becker muscular dystrophry; X-linked recessive	
Factors VIII and IX  are associated with what genetic syndrome? What is its inheritance?	Hemophilia; X-linked recessive	
Hypophosphatemic rickets is associated with what genetic defect? What is its inheritance?	PHEX; X-linked dominant	
Leri-Weill dyschondrosteosis is associated with what genetic defect? What is its inheritance?	SHOX; X-linked dominant	
PHEX is associated what genetic syndrome? What is its inheritance?	Hypophosphatemic rickets; X-linked dominant	
SHOX is associated what genetic syndrome? What is its inheritance?	Leri-Weill dyschondrosteosis; X-linked dominant	
McCune-Albirght syndrome is associated with what genetic defect? What is its inheritance?	Gsalpha subunit of the receptor/adenylyl cyclase-coupling G proteins; Sporadic	
Name the translocation in synovial sarcoma.	T(X:18)	
Name the translocation in Ewing Sarcoma.	T(11:22)	
Name the translocation in rhabdomyosarcoma.	t(2:13)	
Name the translocation in myxoid liposarcoma.	t(12:16)	
Name the translocation in clear cell sarcoma.	t(12:22)	
Name the translocation in myxoid chondrosarcoma.	t(9,22)	
t(X:18) translocations cause what sarcoma?	synovial sarcoma	
t(11:22) translocations cause what sarcoma?	Ewing sarcoma	
t(2:13) translocations cause what sarcoma?	rhabdomyosarcoma	
t(12:16) translocations cause what sarcoma?	myxoid liposarcoma	
t(12:22) translocations cause what sarcoma?	clear cell sarcoma	
t(9,22) translocations cause what sarcoma?	myxoid chrondrosarcoma	
What is the most common risk factor for necrotizing fasciitis?	Diabetes	
Necrotizing fasciitis in healthy individuals is most commonly caused by what bacteria?	Group A beta-hemolytic strep	
How long does it take C-reactive protein to dissipate after effective treatment?	about 1 week	
What are the 3 most common causes of osteomyelitis (in order) in patients aged 0-4 months.	S. aureus, gram-negative bacilli, group B strep	
What are the 2 most common causes of osteomyelitis (in order) in patients aged 4 months to 21 years?	S. aureus, Group A strep	
What is the most common cause of epiphyseal osteomyelitis?	S. aureus	
What are the 2 most common causes of osteomyelitis (in order) in patients aged greater than 21 years of age.	S. aureus, coagulase-negative strep	
What are the 2 most common causes of osteomyelitis (in order) in patients with sickle cell disease?	S. aureus, Salmonella	
What are the 3 most common causes of osteomyelitis (in order) in patients with open fractures.	S. aureus, P aeruginosa, gram-negative bacilli	
What is the most common cause of osteomyelitis in patients with diabetes?	Polymicrobial (both aerobic and anaerobic)	
What are the 3 most common causes of osteomyelitis (in order) in intravenous drug users?	S. aureus, serratia spp, pseudomonas spp.	
What organism is associated with osteomyelitis in meat handlers?	Brucella spp.	
What organism is associated with osteomyelitis in fisherman?	Mycobacterium spp.	
What is a sequestrum? What is it seen in?	dead bone with surrounding granulation tissu; osteomyelitis	
What is involucrum? What is it associated with?	Periosteal new bone; osteomyelitis	
What is the most common causative organism of septic arthritis in sexually active patients?	Neisseria gonorrhoeae	
What is the most common causative organism of septic arthritis in non-sexually active patients.	S. aureus	
When should tetanus immune globulin be given to patients with open wounds?	When the tetanus status is unknown or the patient has received fewer than 3 immunizations.	
When should tetanus toxoid be given to patients with open wounds?	severe wound or the wound occured more than 24 hours previously and the patient has received no booster vaccination within the previous 5 years.	
What is the mechanism of action of beta-lactam antiobiotics (penicillin and cephalosporins)?	inhibit cross-linking of polysaccarhids in the cell wall by blocking transpeptidase enzyme.	
What is the mechanism of action of vancomycin?	Interferes with the insertion of glycan subunits into the cell wall	
What is the mechanism of action of rifampin?	Inhibits RNA polymerase F	
What is the mechanism of action of clindamycin?	binds to 50S ribosomal subunits and inhibits protein synthesis	
What is the mechanism of action of quinolones (ciprofloxacin)?	Inhibits DNA gyrase	
What gene does MRSA have that gives it resistance? What doe it produce and do?	mecA produces the enzyme penicillin-biding protein 2a (PBP 2a) which prevents the normal enzymatic acylation of antibiotics	
What is Virchow's triad?	enodthelial damage, venous stasis, hypercoagulability	
What protein triggers the coagulation cascade?	Tissue factor (thromboplastin)	
What is the mechanism of action of wafarin?	Inhibits the posttranslational modification of bitamin K-dependent clotting factors.	
What are the vitamin K-dependent clotting factors?	Factors X, IX, VII, II; proteins C and S	
What clinical triad is seen in fat embolism? What can you do to decrease the incidence?	hypoxemia, CNS depression, and petechia; stabilize the fracture	
What is the inheritance pattern of malignant hyperthermia?	Autosomal dominant	
Which 3 agents can trigger malignant hyperthermia?	"Inhalational (""-ane"") agents, amide-based local anesthetics, and depolarizing muscle relaxants (succinylcholine)"	
What are the first 2 signs of malignant hyperthermia?	increased end-tidal CO2 and tachycardia	
What is malignant hyperthermia treated with? What is its mechanism?	dantrolene sodium; blocks calcium release by stabilizing the sacroplasmic reticulum	
What enzyme do NSAIDs inhibit? What does it do?	COX; COX is involved in forming prostaglandins from arachidonic acid	
What the 3 most important risk factors for gastrointenstinal complications when taking NSAIDs?	Concurrent anticoagulant use, age older than 60, and history of previous GI disease.	
What 3 supplements/herbs can increase the risk of bleeding in the perioperative period?	Garlic, Ginkgo biloba, and ginseng	
What 4 things appear dark on T1 and bright on T2?	water, CSF, acute hemorrhage, soft tissue tumors	
Define force.	A mechanical push or pull (load) causing external (acceleration) and internal (strain) effects.	
Define moment.	THe rotation effect of force.	
Define mass moment of inertia.	resistance to rotation	
Define stress. What is its equation and unit of measure?	Stress is the instensity of internal force. Stress = force/area. Unit: pascal (N/m2)	
Define strain. What is its equation?	Strain is a measure of deformation resulting from loading. Strain = change in length/original length	
What is Young's modulus of elasticity? What is it's equation?	A measure of material stiffness, the ability to resist deformation in tension. E = stress/strain. Higher E withstand greater forces before deforming.	
Define strain energy.	The capacity of a material to absorb energy before failure (toughness).	
Define brittle material types.	Linear stress-strain curve with limited capacity for plastic deformation (PMMA).	
Define ductile material types.	Large plastic deformation before failure (metal)	
Define viscoelastic material types.	time and rate dependent stress-strain behavior and demonstrate hysteresis (loading and unloading curves differ); i.e. bone, ligaments, biological tissues	
Define isotropic material types.	Mechanical properties are the same for all directions of applied load (golf ball)	
Define anisoptropic material types.	Mechanic properties vary with direction of applied load. (bone--stronger with axial load than with radial load)	
What occurs when dissimilar metals are in direct contact?	Galvanic corrosion	
Risk of galvanic corrosion is highests between what 2 metals?	316L stainless steel and cobalt-chromium (Co-Cr) alloy	
Define joint reaction force.	Force generated within a joint in response to an external force.	
The hip should be fused in what position?	25-30 degrees of flexion, 0 degrees of abduction and rotation	
The knee should be fused in what position?	0-7 degrees of valgus, 10-15 degrees of flexion	
The ankle should be fused in what position?	neutral dorsiflexion, 5-10 degrees of external rotation, 5 degrees of hindfoot valgus	
The shoulder should be fused in what position?	15-20 degrees of abduction, 20-25 degrees of forward flexion, 40-50 degrees of internal rotation.	
The elbow should be fused in what position if unilateral?	90 degrees of flexion.	
The elbow should be fused in what position if bilateral?	One elbow at 110 degrees of flexion for the hand to reach the mouth, the other elbow at 65 degrees of flexion for perineal hygiene.	
The wrist should be fused in what position if unilateral?	10-20 degrees of extension	
The wrist should be fused in what position if bilateral.	one wrist 10-20 degrees extended, the other 10-20 degrees flexed.	
What are the prognostic factors in bone tumor staging in order?	metastases, discontinuous tumor, grade, and size	
What are the prognostic factors in soft tissue staging in order?	metastases, grade, size, depth	
What is the most common site of mets from bone and soft tissues sarcomas?	The lung	
What 2 BONE cancers is chemotherapy most commonly used for in limb salvage surgery?	Osteosarcoma and ewing sarcoma	
What 2 soft tissues tumors is chemotherapy used for?	Rhabdomyosarcoma and synovial sarcoma	
What canceers is radiation alone used for (4)?	metastatic bone disease, lymphoma, myeloma, selected cases of Ewing sarcoma	
What are 2 complications of radiation therapy?	late stress fracture and postirradiation sarcoma	
Compare/contrasts pre- and post-operative external beam radiation: 1)local control rates? 2)wound complications? 3)fibrosis?	1) pre and postop have equal local control rates 2) Postop has lower rate of wound complications 3) Post-op has higher incidence of fibrosis	
What bone cancers is wide excision alone used for (4)?	chondrosarcoma, adamantinoma, parosteal osteosarcoma, chordoma	
What tumors is intralesional resection/curettage used for (6)?	GCT, ABC, NOF, LCH, osteoblastoma, chondroblastoma	
Name 3 tumors/lesions typically seen in age <5 years.	rhabdomyosarcoma, osteofibrous dysplasia, leukemia	
Name 8 tumors/lesions typically seen in age <30 years.	enchondroma unicameral bone cyst osteosarcoma metaphyseal fibrous defect (NOF) Ewing sarcoma osteoid osteoma chondroblastoma fibrous dysplasia giant cell tumor	
Name 7 tumors/lesions typically seen in age >50 years.	metastatic bone disease fibrosarcoma malignant fibrous histiocytoma myeloma lymphoma chondrosarcoma Paget disease	
Name 2 tumors/lesions typicall seen at the anterior cortex of the tibia.	adamantinoma, osteofibrous dysplasia	
Name 2 tumors/lesions typicall seen at the posterior cortex of the distal femur.	parosteal osteosarcoma, periosteal desmoid	
Name 4 tumors/lesions classicaly seen at the epiphysis.	giant cell tumor, chondroblastoma, osteomyelitis, clear cell chondrosarcoma	
What cancer is classicaly seen at the epiphysis of the femoral head?	clear cell condrosarcoma	
What is a Brodie abscess?	Osteomyelitis of the epiphysis	
Name 4 tumors/lesions clasically seen at the metaphysis?	metaphyseal fibrous defect (NOF) aneurysmal bone cyst Giant cell tumor osteosarcoma	
Name 6 tumors/lesions clasically seen at the diaphysis.	AEIOUY   A=Adamantinoma E=Eosinophilic granuloma I=Infection O=osteoid osteoma/osteoblastoma U=Ewing sarcoma Y=mYeloma, lYmphoma, fibrous dYsplasia (Mets)	
What are the 5 key principles of biopsy?	1) use longitudinal incisions, excise biopsy tracts if malignant. 2) approach lesions through intermuscular planes when possible, avoid functionally important/neurovascular structures 3) Maintain meticulous hemostasis 4) Send frozens intra-op to ensure adequate sample 5) Send for bacteriologic analysis	
What are the 4 surgical margins of tumor excision? Describe them.	1) Intralesional 2) marginal (through reactive zone) 3) wide (includes a cuff of normal tissue 4) radical (entire tumor and its compartment, including surrounding muscles, ligaments, and connective tissues)	
What are the 2 essential criteria for limb salvage surgery?	1) local control must be at lease equal to amputation 2) limb must be functional	
Retinoblastoma is associated with what sarcoma?	osteosarcoma	
p53 mutations are associated with what sarcoma? What is this syndrome called?	osteosarcoma, Li-Fraumeni syndrome	
Name the translocation in Ewing sarcoma and its gene product.	t(11;22) EWS-FLI1	
Name the translocation in synovial sarcoma and its 2 gene prodcuts.	t(X;18) SYT-SSX1, SYT-SSX2	
Name the translocation in myxoid liposarcoma and its gene product.	t(12;16) FUS-CHOP	
Name the translocation in alveolar rhabdomyosarcoma and its gene product.	t(2;13) PAX3-FKHR	
What is the mutation seen in fibrous dysplasia?	GNAS1-activating mutation of the GSalpha surface protein.	
What is the most common presentation of a soft tissue sarcoma?	an enlarging painful or painless soft tissue mass.	
Desribe 5 common characteristics of soft tissue malignancies seen on MRI.	1) well defined (pseudocapsule) 2) heterogeneous 3) large, >5cm 4) deep to fascia 5) Dark on T1, bright on T2	
Metastatic workup should include CT scan of what? What should be added for liposarcoma?	CT scan of the chest Include CT scan of abdomen and pelvis for liposarc because of syncronous retroperitoneal liposarcoma	
What is the most common soft tissue sarcoma of the hand?	epithelioid sarcoma	
What is the most common soft tissue sarcoma of the foot?	synovial sarcoma	
What is the primary site of metastases from soft tissue sarcomas?	The lung	
In what % of soft tissue sarcoma cases does lymphatic metastasis occur?	5%	
